City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Agoura Hills" 164 785 1 5
"City of Alhambra" 1277 1472 27 31
"City of Arcadia" 511 885 34 59
"City of Artesia" 380 2263 10 60
"City of Avalon" 6 155 0 0
"City of Azusa" 1564 3125 23 46
"City of Baldwin Park" 3059 3985 89 116
"City of Bell" 1623 4467 41 113
"City of Bell Gardens" 1990 4620 22 51
"City of Bellflower" 2409 3099 60 77
"City of Beverly Hills" 700 2028 12 35
"City of Bradbury" 14 1310 0 0
"City of Burbank" 1604 1497 58 54
"City of Calabasas" 275 1131 12 49
"City of Carson" 1865 1987 63 67
"City of Cerritos" 575 1148 17 34
"City of Claremont" 390 1069 10 27
"City of Commerce*" 596 4560 11 84
"City of Compton" 4089 4093 72 72
"City of Covina" 1440 2937 45 92
"City of Cudahy" 1111 4563 18 74
"City of Culver City" 394 988 29 73
"City of Diamond Bar" 556 967 10 17
"City of Downey" 4189 3666 87 76
"City of Duarte" 574 2607 30 136
"City of El Monte" 4402 3754 164 140
"City of El Segundo" 132 786 1 6
"City of Gardena" 1268 2068 52 85
"City of Glendale" 3818 1849 178 86
"City of Glendora" 1268 2403 73 138
"City of Hawaiian Gardens" 538 3666 2 14
"City of Hawthorne" 1963 2211 47 53
"City of Hermosa Beach" 216 1098 4 20
"City of Hidden Hills" 8 423 0 0
"City of Huntington Park" 2982 5013 59 99
"City of Industry" 36 8238 2 458
"City of Inglewood" 2905 2558 90 79
"City of Irwindale" 68 4661 2 137
"City of La Canada Flintridge" 185 894 7 34
"City of La Habra Heights" 44 807 0 0
"City of La Mirada" 859 1732 26 52
"City of La Puente" 1534 3769 22 54
"City of La Verne" 473 1421 12 36
"City of Lakewood" 1314 1635 14 17
"City of Lancaster*" 3499 2166 58 36
"City of Lawndale" 642 1910 11 33
"City of Lomita" 241 1163 9 43
"City of Lynwood*" 3358 4661 101 140
"City of Malibu" 104 802 3 23
"City of Manhattan Beach" 365 1014 5 14
"City of Maywood" 1452 5177 33 118
"City of Monrovia" 762 1964 41 106
"City of Montebello" 2343 3640 52 81
"City of Monterey Park" 977 1569 47 75
"City of Norwalk" 3323 3088 79 73
"City of Palmdale" 4188 2634 75 47
"City of Palos Verdes Estates" 101 747 2 15
"City of Paramount" 2436 4348 29 52
"City of Pico Rivera" 2452 3814 74 115
"City of Pomona" 5585 3582 133 85
"City of Rancho Palos Verdes" 312 730 13 30
"City of Redondo Beach" 563 820 11 16
"City of Rolling Hills" 12 619 0 0
"City of Rolling Hills Estates" 43 530 2 25
"City of Rosemead" 835 1509 32 58
"City of San Dimas*" 541 1567 14 41
"City of San Fernando" 951 3864 19 77
"City of San Gabriel" 648 1582 64 156
"City of San Marino" 91 685 2 15
"City of Santa Clarita" 3552 1611 53 24
"City of Santa Fe Springs" 573 3120 4 22
"City of Santa Monica" 890 963 41 44
"City of Sierra Madre" 78 710 3 27
"City of Signal Hill" 278 2357 3 25
"City of South El Monte" 804 3850 16 77
"City of South Gate" 4503 4588 69 70
"City of South Pasadena" 285 1094 26 100
"City of Temple City" 532 1459 41 112
"City of Torrance" 1447 969 70 47
"City of Vernon" 13 6220 0 0
"City of Walnut" 280 917 4 13
"City of West Covina" 2945 2721 66 61
"City of West Hollywood" 574 1553 5 14
"City of Westlake Village" 34 407 0 0
"City of Whittier" 2281 2609 35 40
"Los Angeles" 110308 2727 2795 69
"Los Angeles - Adams-Normandie" 269 3280 4 49
"Los Angeles - Alsace" 377 3029 3 24
"Los Angeles - Angeles National Forest" 2 5000 0 0
"Los Angeles - Angelino Heights" 75 2998 1 40
"Los Angeles - Arleta" 1477 4297 26 76
"Los Angeles - Atwater Village" 241 1643 7 48
"Los Angeles - Baldwin Hills" 621 1995 28 90
"Los Angeles - Bel Air" 95 1127 0 0
"Los Angeles - Beverly Crest" 128 1022 2 16
"Los Angeles - Beverlywood" 167 1268 0 0
"Los Angeles - Boyle Heights*" 4303 4953 69 79
"Los Angeles - Brentwood" 296 956 3 10
"Los Angeles - Brookside" 3 516 0 0
"Los Angeles - Cadillac-Corning" 132 1854 1 14
"Los Angeles - Canoga Park" 1936 2965 58 89
"Los Angeles - Carthay" 219 1525 15 104
"Los Angeles - Central" 2192 5622 42 108
"Los Angeles - Century City" 119 930 0 0
"Los Angeles - Century Palms/Cove" 1503 4451 22 65
"Los Angeles - Chatsworth" 685 1848 35 94
"Los Angeles - Cheviot Hills" 82 894 2 22
"Los Angeles - Chinatown" 120 1496 3 37
"Los Angeles - Cloverdale/Cochran" 302 2075 5 34
"Los Angeles - Country Club Park" 366 2415 27 178
"Los Angeles - Crenshaw District" 306 2213 3 22
"Los Angeles - Crestview" 193 1698 20 176
"Los Angeles - Del Rey" 358 1196 10 33
"Los Angeles - Downtown*" 830 3017 15 55
"Los Angeles - Eagle Rock" 676 1708 25 63
"Los Angeles - East Hollywood" 638 2178 43 147
"Los Angeles - Echo Park" 258 1810 4 28
"Los Angeles - El Sereno" 1256 3004 34 81
"Los Angeles - Elysian Park" 97 1698 0 0
"Los Angeles - Elysian Valley" 266 2615 3 29
"Los Angeles - Encino" 618 1368 18 40
"Los Angeles - Exposition" 81 2435 2 60
"Los Angeles - Exposition Park" 1345 2994 23 51
"Los Angeles - Faircrest Heights" 37 1028 2 56
"Los Angeles - Figueroa Park Square" 314 3601 4 46
"Los Angeles - Florence-Firestone" 2344 4940 28 59
"Los Angeles - Glassell Park" 713 2256 14 44
"Los Angeles - Gramercy Place" 253 2350 4 37
"Los Angeles - Granada Hills" 1221 2098 65 112
"Los Angeles - Green Meadows" 948 4408 14 65
"Los Angeles - Hancock Park" 236 1385 3 18
"Los Angeles - Harbor City" 507 1744 11 38
"Los Angeles - Harbor Gateway" 1004 2303 15 34
"Los Angeles - Harbor Pines" 23 955 0 0
"Los Angeles - Harvard Heights" 563 3122 24 133
"Los Angeles - Harvard Park" 1646 4339 24 63
"Los Angeles - Highland Park" 1113 2300 19 39
"Los Angeles - Historic Filipinotown" 444 3201 15 108
"Los Angeles - Hollywood" 1226 1796 14 21
"Los Angeles - Hollywood Hills" 303 1029 7 24
"Los Angeles - Hyde Park" 812 2845 14 49
"Los Angeles - Jefferson Park" 256 3171 0 0
"Los Angeles - Koreatown" 1182 2287 33 64
"Los Angeles - Lafayette Square" 83 1821 3 66
"Los Angeles - Lake Balboa" 1064 2521 20 47
"Los Angeles - Lakeview Terrace" 562 4279 23 175
"Los Angeles - Leimert Park" 319 2094 8 53
