City/Community Cases "Case Rate" Deaths "Death Rate"
"Los Angeles - Lincoln Heights" 1083 3322 46 141
"Los Angeles - Little Armenia" 397 4947 53 660
"Los Angeles - Little Bangladesh" 500 1764 6 21
"Los Angeles - Little Tokyo" 93 2968 2 64
"Los Angeles - Longwood" 117 2718 0 0
"Los Angeles - Los Feliz" 212 981 2 9
"Los Angeles - Manchester Square" 194 2273 5 59
"Los Angeles - Mandeville Canyon" 27 864 0 0
"Los Angeles - Mar Vista" 324 763 6 14
"Los Angeles - Marina Peninsula" 37 849 0 0
"Los Angeles - Melrose" 1953 2514 72 93
"Los Angeles - Mid-city" 282 1876 24 160
"Los Angeles - Miracle Mile" 183 1018 6 33
"Los Angeles - Mission Hills" 809 3354 43 178
"Los Angeles - Mt. Washington" 560 2319 16 66
"Los Angeles - North Hills" 1856 3014 46 75
"Los Angeles - North Hollywood" 3987 2633 68 45
"Los Angeles - Northridge" 1447 2073 43 62
"Los Angeles - Pacific Palisades" 133 625 4 19
"Los Angeles - Pacoima" 3529 4584 50 65
"Los Angeles - Palisades Highlands" 29 754 0 0
"Los Angeles - Palms" 555 1265 30 68
"Los Angeles - Panorama City" 2982 3963 89 118
"Los Angeles - Park La Brea" 110 810 1 7
"Los Angeles - Pico-Union" 1815 4338 89 213
"Los Angeles - Playa Del Rey" 29 907 0 0
"Los Angeles - Playa Vista" 143 1306 0 0
"Los Angeles - Porter Ranch" 387 1087 6 17
"Los Angeles - Rancho Park" 89 1357 0 0
"Los Angeles - Regent Square" 30 1079 0 0
"Los Angeles - Reseda" 2214 2890 84 110
"Los Angeles - Reseda Ranch" 118 2545 0 0
"Los Angeles - Reynier Village" 39 922 0 0
"Los Angeles - San Pedro*" 1951 2500 28 36
"Los Angeles - Shadow Hills" 67 1508 0 0
"Los Angeles - Sherman Oaks" 1095 1255 27 31
"Los Angeles - Silverlake" 624 1416 19 43
"Los Angeles - South Carthay" 125 1180 2 19
"Los Angeles - South Park" 2051 5403 28 74
"Los Angeles - St Elmo Village" 154 3360 8 175
"Los Angeles - Studio City" 251 1119 8 36
"Los Angeles - Sun Valley" 1695 3230 30 57
"Los Angeles - Sunland" 464 2274 30 147
"Los Angeles - Sycamore Square" 7 1082 0 0
"Los Angeles - Sylmar*" 3327 4038 84 102
"Los Angeles - Tarzana" 683 2212 37 120
"Los Angeles - Temple-Beaudry" 1252 3171 29 73
"Los Angeles - Thai Town" 161 1641 2 20
"Los Angeles - Toluca Lake" 107 1229 0 0
"Los Angeles - Toluca Terrace" 23 1761 1 77
"Los Angeles - Toluca Woods" 21 1130 0 0
"Los Angeles - Tujunga" 523 1881 14 50
"Los Angeles - University Hills" 53 1546 1 29
"Los Angeles - University Park" 1176 4283 20 73
"Los Angeles - Valley Glen" 673 2242 21 70
"Los Angeles - Valley Village" 534 2160 25 101
"Los Angeles - Van Nuys" 3061 3285 92 99
"Los Angeles - Venice" 297 876 3 9
"Los Angeles - Vermont Knolls" 720 4186 16 93
"Los Angeles - Vermont Square" 344 4493 4 52
"Los Angeles - Vermont Vista" 1926 4676 26 63
"Los Angeles - Vernon Central" 3025 5818 43 83
"Los Angeles - Victoria Park" 218 2596 4 48
"Los Angeles - View Heights" 46 1245 3 81
"Los Angeles - Watts" 1962 4598 32 75
"Los Angeles - Wellington Square" 125 2543 2 41
"Los Angeles - West Adams" 900 3257 42 152
"Los Angeles - West Hills" 547 1349 30 74
"Los Angeles - West Los Angeles" 505 1342 15 40
"Los Angeles - West Vernon" 2374 4425 51 95
"Los Angeles - Westchester" 422 818 15 29
"Los Angeles - Westlake" 2413 4065 144 243
"Los Angeles - Westwood" 395 730 6 11
"Los Angeles - Wholesale District*" 2416 6687 27 75
"Los Angeles - Wilmington" 1800 3187 23 41
"Los Angeles - Wilshire Center" 1118 2228 37 74
"Los Angeles - Winnetka" 1272 2456 21 41
"Los Angeles - Woodland Hills" 932 1369 34 50
"Unincorporated - Acton" 72 903 2 25
"Unincorporated - Agua Dulce" 28 673 0 0
"Unincorporated - Altadena" 727 1667 15 34
"Unincorporated - Anaverde" 16 1061 0 0
"Unincorporated - Angeles National Forest" 6 482 0 0
"Unincorporated - Arcadia" 93 1165 3 38
"Unincorporated - Athens-Westmont" 1551 3654 27 64
"Unincorporated - Athens Village" 245 5003 10 204
"Unincorporated - Avocado Heights" 300 4428 4 59
"Unincorporated - Azusa" 517 3247 4 25
"Unincorporated - Bassett" 665 4488 9 61
"Unincorporated - Bouquet Canyon" 9 839 1 93
"Unincorporated - Bradbury" 4 3704 1 926
"Unincorporated - Canyon Country" 139 1799 0 0
"Unincorporated - Castaic*" 2083 7661 4 15
"Unincorporated - Cerritos" 18 3066 0 0
"Unincorporated - Charter Oak" 0 0 0 0
"Unincorporated - Claremont" 23 3276 3 427
"Unincorporated - Covina" 456 2711 7 42
"Unincorporated - Covina (Charter Oak)" 317 2412 2 15
"Unincorporated - Del Aire" 76 1730 2 46
"Unincorporated - Del Rey" 3 943 0 0
"Unincorporated - Del Sur" 19 787 1 41
"Unincorporated - Desert View Highlands" 49 1966 1 40
"Unincorporated - Duarte" 153 3455 4 90
"Unincorporated - East Covina" 4 1216 0 0
"Unincorporated - East La Mirada" 102 1927 1 19
"Unincorporated - East Lancaster" 0 0 0 0
"Unincorporated - East Los Angeles" 6395 5105 105 84
"Unincorporated - East Pasadena" 82 1281 2 31
"Unincorporated - East Rancho Dominguez" 690 4507 16 105
"Unincorporated - East Whittier" 92 1734 0 0
"Unincorporated - El Camino Village" 148 1684 3 34
"Unincorporated - El Monte" 6 4138 0 0
"Unincorporated - Elizabeth Lake" 7 421 0 0
"Unincorporated - Florence-Firestone" 3463 5352 54 83
"Unincorporated - Franklin Canyon" 0 0 0 0
"Unincorporated - Glendora" 13 1970 0 0
"Unincorporated - Hacienda Heights" 1054 1885 17 30
"Unincorporated - Harbor Gateway" 0 0 0 0
"Unincorporated - Hawthorne" 59 2347 0 0
"Unincorporated - Hi Vista" 8 729 0 0
"Unincorporated - Kagel/Lopez Canyons" 39 2762 1 71
"Unincorporated - La Crescenta-Montrose" 205 1035 2 10
"Unincorporated - La Habra Heights" 2 296 0 0
"Unincorporated - La Rambla" 78 3759 12 578
"Unincorporated - La Verne*" 34 1667 0 0
"Unincorporated - Ladera Heights" 98 1386 3 42
"Unincorporated - Lake Hughes" 4 599 0 0
"Unincorporated - Lake Los Angeles" 239 1839 4 31
"Unincorporated - Lake Manor" 24 1461 0 0
"Unincorporated - Lakewood" 0 0 0 0
"Unincorporated - Lennox" 706 3132 6 27
"Unincorporated - Leona Valley" 19 1085 0 0
"Unincorporated - Littlerock" 85 2114 1 25
"Unincorporated - Littlerock/Juniper Hills" 9 694 0 0
"Unincorporated - Littlerock/Pearblossom" 94 2634 0 0
"Unincorporated - Llano" 3 342 0 0
"Unincorporated - Marina del Rey" 71 754 1 11
"Unincorporated - Miracle Mile" 0 0 0 0
"Unincorporated - Monrovia" 81 2087 0 0
"Unincorporated - Newhall" 14 6364 0 0
"Unincorporated - North Lancaster" 19 1586 0 0
"Unincorporated - North Whittier" 216 2584 10 120
"Unincorporated - Northeast San Gabriel" 342 1423 8 33
"Unincorporated - Padua Hills" 3 1395 0 0
"Unincorporated - Palmdale" 21 2494 0 0
"Unincorporated - Palos Verdes Peninsula" 3 483 0 0
"Unincorporated - Pearblossom/Llano" 24 1227 1 51
"Unincorporated - Pellissier Village" 29 4685 0 0
"Unincorporated - Placerita Canyon" 0 0 0 0
"Unincorporated - Pomona" 16 826 1 52
"Unincorporated - Quartz Hill" 182 1410 11 85
"Unincorporated - Rancho Dominguez" 74 2781 2 75
"Unincorporated - Roosevelt" 11 1182 0 0
"Unincorporated - Rosewood" 32 2488 0 0
"Unincorporated - Rosewood/East Gardena" 30 2515 1 84
"Unincorporated - Rosewood/West Rancho Dominguez" 110 3273 0 0
"Unincorporated - Rowland Heights" 687 1346 15 29
"Unincorporated - San Clemente Island" 0 0 0 0
"Unincorporated - San Francisquito Canyon/Bouquet Canyon" 0 0 0 0
"Unincorporated - San Jose Hills" 745 3684 14 69
"Unincorporated - San Pasqual" 10 491 0 0
"Unincorporated - Sand Canyon" 7 2273 0 0
"Unincorporated - Santa Catalina Island" 25 9363 0 0
"Unincorporated - Santa Monica Mountains*" 118 634 1 5
"Unincorporated - Saugus" 28 18065 0 0
"Unincorporated - Saugus/Canyon Country" 3 843 0 0
"Unincorporated - South Antelope Valley" 6 1319 0 0
"Unincorporated - South El Monte" 90 5014 0 0
"Unincorporated - South San Gabriel" 175 1978 5 57
"Unincorporated - South Whittier" 1828 3087 34 57
"Unincorporated - Southeast Antelope Valley" 14 1793 0 0
"Unincorporated - Stevenson Ranch" 170 811 2 10
"Unincorporated - Sun Village" 166 2750 2 33
"Unincorporated - Sunrise Village" 53 4090 0 0
"Unincorporated - Twin Lakes/Oat Mountain" 12 724 1 60
"Unincorporated - Val Verde" 78 2357 1 30
"Unincorporated - Valencia" 46 1497 1 33
"Unincorporated - Valinda" 759 3248 9 39
"Unincorporated - View Park/Windsor Hills" 144 1238 3 26
"Unincorporated - Walnut Park" 719 4454 13 81
"Unincorporated - West Antelope Valley" 5 331 0 0
"Unincorporated - West Carson" 448 2028 36 163
"Unincorporated - West Chatsworth" 0 0 0 0
"Unincorporated - West LA" 44 4622 2 210
"Unincorporated - West Puente Valley" 399 4057 3 31
"Unincorporated - West Rancho Dominguez" 22 1619 3 221
"Unincorporated - West Whittier/Los Nietos" 993 3688 15 56
"Unincorporated - Westfield/Academy Hills" 8 615 0 0
"Unincorporated - Westhills" 9 1073 0 0
"Unincorporated - White Fence Farms" 44 1195 0 0
"Unincorporated - Whittier" 70 1850 3 79
"Unincorporated - Whittier Narrows" 3 25000 0 0
"Unincorporated - Willowbrook" 1470 4210 21 60
"Unincorporated - Wiseburn" 129 2140 1 17
"-  Under Investigation" 4541 0 20 0
