City/Community Cases "Case Rate" Deaths "Death Rate"
"Los Angeles - Lakeview Terrace" 528 4020 23 175
"Los Angeles - Leimert Park" 297 1949 8 53
"Los Angeles - Lincoln Heights" 1034 3172 47 144
"Los Angeles - Little Armenia" 385 4798 51 636
"Los Angeles - Little Bangladesh" 471 1662 5 18
"Los Angeles - Little Tokyo" 78 2490 2 64
"Los Angeles - Longwood" 112 2602 0 0
"Los Angeles - Los Feliz" 198 916 2 9
"Los Angeles - Manchester Square" 191 2238 4 47
"Los Angeles - Mandeville Canyon" 26 832 0 0
"Los Angeles - Mar Vista" 305 718 6 14
"Los Angeles - Marina Peninsula" 31 711 0 0
"Los Angeles - Melrose" 1825 2349 70 90
"Los Angeles - Mid-city" 272 1810 24 160
"Los Angeles - Miracle Mile" 167 929 6 33
"Los Angeles - Mission Hills" 735 3047 31 129
"Los Angeles - Mt. Washington" 528 2187 16 66
"Los Angeles - North Hills" 1742 2829 44 71
"Los Angeles - North Hollywood" 3601 2378 64 42
"Los Angeles - Northridge" 1337 1916 43 62
"Los Angeles - Pacific Palisades" 120 564 4 19
"Los Angeles - Pacoima" 3280 4261 48 62
"Los Angeles - Palisades Highlands" 26 676 0 0
"Los Angeles - Palms" 523 1192 28 64
"Los Angeles - Panorama City" 2758 3665 89 118
"Los Angeles - Park La Brea" 99 729 1 7
"Los Angeles - Pico-Union" 1727 4127 92 220
"Los Angeles - Playa Del Rey" 27 845 0 0
"Los Angeles - Playa Vista" 132 1206 0 0
"Los Angeles - Porter Ranch" 351 986 6 17
"Los Angeles - Rancho Park" 87 1326 1 15
"Los Angeles - Regent Square" 30 1079 0 0
"Los Angeles - Reseda" 2065 2695 78 102
"Los Angeles - Reseda Ranch" 110 2373 0 0
"Los Angeles - Reynier Village" 39 922 0 0
"Los Angeles - San Pedro*" 1899 2433 27 35
"Los Angeles - Shadow Hills" 58 1306 0 0
"Los Angeles - Sherman Oaks" 994 1139 25 29
"Los Angeles - Silverlake" 601 1363 18 41
"Los Angeles - South Carthay" 108 1019 2 19
"Los Angeles - South Park" 1981 5219 28 74
"Los Angeles - St Elmo Village" 135 2945 8 175
"Los Angeles - Studio City" 233 1038 11 49
"Los Angeles - Sun Valley" 1533 2921 29 55
"Los Angeles - Sunland" 431 2112 29 142
"Los Angeles - Sycamore Square" 5 773 0 0
"Los Angeles - Sylmar*" 3111 3776 81 98
"Los Angeles - Tarzana" 600 1943 37 120
"Los Angeles - Temple-Beaudry" 1202 3044 26 66
"Los Angeles - Thai Town" 158 1611 0 0
"Los Angeles - Toluca Lake" 98 1126 0 0
"Los Angeles - Toluca Terrace" 22 1685 1 77
"Los Angeles - Toluca Woods" 18 969 0 0
"Los Angeles - Tujunga" 468 1683 14 50
"Los Angeles - University Hills" 51 1487 1 29
"Los Angeles - University Park" 1037 3777 19 69
"Los Angeles - Valley Glen" 596 1986 22 73
"Los Angeles - Valley Village" 490 1982 25 101
"Los Angeles - Van Nuys" 2814 3020 82 88
"Los Angeles - Venice" 275 812 3 9
"Los Angeles - Vermont Knolls" 701 4076 14 81
"Los Angeles - Vermont Square" 329 4297 3 39
"Los Angeles - Vermont Vista" 1858 4511 25 61
"Los Angeles - Vernon Central" 2887 5552 41 79
"Los Angeles - Victoria Park" 206 2453 4 48
"Los Angeles - View Heights" 43 1164 3 81
"Los Angeles - Watts" 1878 4401 28 66
"Los Angeles - Wellington Square" 120 2442 0 0
"Los Angeles - West Adams" 861 3116 38 138
"Los Angeles - West Hills" 514 1268 30 74
"Los Angeles - West Los Angeles" 483 1283 16 43
"Los Angeles - West Vernon" 2254 4202 47 88
"Los Angeles - Westchester" 402 779 15 29
"Los Angeles - Westlake" 2316 3902 142 239
"Los Angeles - Westwood" 345 638 6 11
"Los Angeles - Wholesale District*" 2315 6408 26 72
"Los Angeles - Wilmington" 1704 3017 17 30
"Los Angeles - Wilshire Center" 1066 2125 34 68
"Los Angeles - Winnetka" 1180 2279 18 35
"Los Angeles - Woodland Hills" 841 1236 30 44
"Unincorporated - Acton" 65 815 2 25
"Unincorporated - Agua Dulce" 25 601 0 0
"Unincorporated - Altadena" 666 1527 13 30
"Unincorporated - Anaverde" 13 862 0 0
"Unincorporated - Angeles National Forest" 5 402 0 0
"Unincorporated - Arcadia" 85 1065 3 38
"Unincorporated - Athens-Westmont" 1485 3499 27 64
"Unincorporated - Athens Village" 219 4472 10 204
"Unincorporated - Avocado Heights" 281 4148 3 44
"Unincorporated - Azusa" 475 2983 3 19
"Unincorporated - Bassett" 606 4090 9 61
"Unincorporated - Bouquet Canyon" 6 559 1 93
"Unincorporated - Bradbury" 4 3704 1 926
"Unincorporated - Canyon Country" 122 1579 0 0
"Unincorporated - Castaic*" 1922 7069 4 15
"Unincorporated - Cerritos" 16 2726 0 0
"Unincorporated - Charter Oak" 0 0 0 0
"Unincorporated - Claremont" 22 3134 3 427
"Unincorporated - Covina" 411 2444 6 36
"Unincorporated - Covina (Charter Oak)" 297 2260 2 15
"Unincorporated - Del Aire" 72 1639 2 46
"Unincorporated - Del Rey" 3 943 0 0
"Unincorporated - Del Sur" 12 497 1 41
"Unincorporated - Desert View Highlands" 44 1765 1 40
"Unincorporated - Duarte" 140 3162 4 90
"Unincorporated - East Covina" 4 1216 0 0
"Unincorporated - East La Mirada" 98 1852 0 0
"Unincorporated - East Lancaster" 0 0 0 0
"Unincorporated - East Los Angeles" 6016 4802 101 81
"Unincorporated - East Pasadena" 77 1203 1 16
"Unincorporated - East Rancho Dominguez" 661 4318 14 91
"Unincorporated - East Whittier" 80 1508 0 0
"Unincorporated - El Camino Village" 144 1638 3 34
"Unincorporated - El Monte" 6 4138 0 0
"Unincorporated - Elizabeth Lake" 7 421 0 0
"Unincorporated - Florence-Firestone" 3300 5100 46 71
"Unincorporated - Franklin Canyon" 0 0 0 0
"Unincorporated - Glendora" 12 1818 0 0
"Unincorporated - Hacienda Heights" 977 1747 16 29
"Unincorporated - Harbor Gateway" 0 0 0 0
"Unincorporated - Hawthorne" 60 2387 0 0
"Unincorporated - Hi Vista" 7 638 0 0
"Unincorporated - Kagel/Lopez Canyons" 34 2408 1 71
"Unincorporated - La Crescenta-Montrose" 185 934 2 10
"Unincorporated - La Habra Heights" 0 0 0 0
"Unincorporated - La Rambla" 77 3711 12 578
"Unincorporated - La Verne*" 33 1618 0 0
"Unincorporated - Ladera Heights" 94 1329 3 42
"Unincorporated - Lake Hughes" 2 299 0 0
"Unincorporated - Lake Los Angeles" 210 1616 4 31
"Unincorporated - Lake Manor" 24 1461 0 0
"Unincorporated - Lakewood" 0 0 0 0
"Unincorporated - Lennox" 681 3021 6 27
"Unincorporated - Leona Valley" 17 971 0 0
"Unincorporated - Littlerock" 83 2064 0 0
"Unincorporated - Littlerock/Juniper Hills" 8 617 0 0
"Unincorporated - Littlerock/Pearblossom" 83 2326 0 0
"Unincorporated - Llano" 3 342 0 0
"Unincorporated - Marina del Rey" 68 723 1 11
"Unincorporated - Miracle Mile" 0 0 0 0
"Unincorporated - Monrovia" 80 2061 0 0
"Unincorporated - Newhall" 6 2727 0 0
"Unincorporated - North Lancaster" 18 1503 0 0
"Unincorporated - North Whittier" 203 2428 10 120
"Unincorporated - Northeast San Gabriel" 323 1344 8 33
"Unincorporated - Padua Hills" 3 1395 0 0
"Unincorporated - Palmdale" 21 2494 0 0
"Unincorporated - Palos Verdes Peninsula" 3 483 0 0
"Unincorporated - Pearblossom/Llano" 23 1176 1 51
"Unincorporated - Pellissier Village" 26 4200 0 0
"Unincorporated - Placerita Canyon" 0 0 0 0
"Unincorporated - Pomona" 15 774 1 52
"Unincorporated - Quartz Hill" 157 1216 11 85
"Unincorporated - Rancho Dominguez" 71 2668 2 75
"Unincorporated - Roosevelt" 8 859 0 0
"Unincorporated - Rosewood" 28 2177 0 0
"Unincorporated - Rosewood/East Gardena" 21 1760 1 84
"Unincorporated - Rosewood/West Rancho Dominguez" 103 3065 0 0
"Unincorporated - Rowland Heights" 642 1258 13 25
"Unincorporated - San Clemente Island" 0 0 0 0
"Unincorporated - San Francisquito Canyon/Bouquet Canyon" 0 0 0 0
"Unincorporated - San Jose Hills" 672 3323 10 49
"Unincorporated - San Pasqual" 10 491 0 0
"Unincorporated - Sand Canyon" 6 1948 0 0
"Unincorporated - Santa Catalina Island" 26 9738 0 0
"Unincorporated - Santa Monica Mountains*" 110 591 1 5
"Unincorporated - Saugus" 27 17419 0 0
"Unincorporated - Saugus/Canyon Country" 1 281 0 0
"Unincorporated - South Antelope Valley" 3 659 0 0
"Unincorporated - South El Monte" 79 4401 0 0
"Unincorporated - South San Gabriel" 173 1955 5 57
"Unincorporated - South Whittier" 1682 2840 31 52
"Unincorporated - Southeast Antelope Valley" 13 1665 0 0
"Unincorporated - Stevenson Ranch" 156 744 2 10
"Unincorporated - Sun Village" 159 2634 2 33
"Unincorporated - Sunrise Village" 53 4090 0 0
"Unincorporated - Twin Lakes/Oat Mountain" 12 724 1 60
"Unincorporated - Val Verde" 67 2025 1 30
"Unincorporated - Valencia" 42 1367 1 33
"Unincorporated - Valinda" 730 3124 7 30
"Unincorporated - View Park/Windsor Hills" 140 1203 3 26
"Unincorporated - Walnut Park" 685 4243 12 74
"Unincorporated - West Antelope Valley" 5 331 0 0
"Unincorporated - West Carson" 411 1861 34 154
"Unincorporated - West Chatsworth" 0 0 0 0
"Unincorporated - West LA" 43 4517 2 210
"Unincorporated - West Puente Valley" 367 3732 3 31
"Unincorporated - West Rancho Dominguez" 21 1545 3 221
"Unincorporated - West Whittier/Los Nietos" 937 3480 16 59
"Unincorporated - Westfield/Academy Hills" 7 538 0 0
"Unincorporated - Westhills" 9 1073 0 0
"Unincorporated - White Fence Farms" 43 1168 0 0
"Unincorporated - Whittier" 62 1638 1 26
"Unincorporated - Whittier Narrows" 0 0 0 0
"Unincorporated - Willowbrook" 1409 4036 20 57
"Unincorporated - Wiseburn" 119 1974 1 17
"-  Under Investigation" 4892 0 36 0
