City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Agoura Hills" 160 766 1 5
"City of Alhambra" 1234 1423 26 30
"City of Arcadia" 486 842 33 57
"City of Artesia" 364 2167 9 54
"City of Avalon" 6 155 0 0
"City of Azusa" 1511 3020 23 46
"City of Baldwin Park" 2917 3800 86 112
"City of Bell" 1579 4346 41 113
"City of Bell Gardens" 1912 4439 22 51
"City of Bellflower" 2352 3026 59 76
"City of Beverly Hills" 673 1950 12 35
"City of Bradbury" 14 1310 0 0
"City of Burbank" 1515 1414 56 52
"City of Calabasas" 266 1094 12 49
"City of Carson" 1820 1939 60 64
"City of Cerritos" 558 1115 16 32
"City of Claremont" 381 1044 10 27
"City of Commerce*" 577 4415 11 84
"City of Compton" 4006 4010 69 69
"City of Covina" 1373 2800 41 84
"City of Cudahy" 1080 4436 15 62
"City of Culver City" 384 963 29 73
"City of Diamond Bar" 544 946 9 16
"City of Downey" 4062 3555 85 74
"City of Duarte" 545 2475 29 132
"City of El Monte" 4289 3657 158 135
"City of El Segundo" 131 780 1 6
"City of Gardena" 1231 2008 50 82
"City of Glendale" 3620 1753 176 85
"City of Glendora" 1245 2360 71 135
"City of Hawaiian Gardens" 532 3625 2 14
"City of Hawthorne" 1926 2169 45 51
"City of Hermosa Beach" 207 1052 4 20
"City of Hidden Hills" 7 370 0 0
"City of Huntington Park" 2898 4872 55 92
"City of Industry" 36 8238 2 458
"City of Inglewood" 2826 2488 89 78
"City of Irwindale" 69 4729 2 137
"City of La Canada Flintridge" 183 884 7 34
"City of La Habra Heights" 43 788 0 0
"City of La Mirada" 839 1692 26 52
"City of La Puente" 1474 3622 21 52
"City of La Verne" 462 1388 12 36
"City of Lakewood" 1262 1570 14 17
"City of Lancaster*" 3332 2062 52 32
"City of Lawndale" 628 1868 10 30
"City of Lomita" 239 1153 9 43
"City of Lynwood*" 3245 4504 97 135
"City of Malibu" 101 779 3 23
"City of Manhattan Beach" 354 983 5 14
"City of Maywood" 1424 5077 33 118
"City of Monrovia" 742 1912 38 98
"City of Montebello" 2276 3536 49 76
"City of Monterey Park" 947 1521 47 75
"City of Norwalk" 3217 2989 74 69
"City of Palmdale" 4040 2541 70 44
"City of Palos Verdes Estates" 96 710 2 15
"City of Paramount" 2362 4216 28 50
"City of Pico Rivera" 2400 3733 73 114
"City of Pomona" 5395 3460 126 81
"City of Rancho Palos Verdes" 299 699 13 30
"City of Redondo Beach" 550 801 11 16
"City of Rolling Hills" 11 567 0 0
"City of Rolling Hills Estates" 41 505 2 25
"City of Rosemead" 819 1480 28 51
"City of San Dimas*" 525 1521 14 41
"City of San Fernando" 906 3681 18 73
"City of San Gabriel" 627 1531 59 144
"City of San Marino" 87 655 2 15
"City of Santa Clarita" 3374 1531 47 21
"City of Santa Fe Springs" 560 3049 4 22
"City of Santa Monica" 861 931 41 44
"City of Sierra Madre" 74 673 3 27
"City of Signal Hill" 268 2272 3 25
"City of South El Monte" 788 3773 15 72
"City of South Gate" 4389 4471 67 68
"City of South Pasadena" 277 1063 26 100
"City of Temple City" 518 1421 40 110
"City of Torrance" 1408 943 69 46
"City of Vernon" 12 5742 0 0
"City of Walnut" 266 871 4 13
"City of West Covina" 2820 2605 61 56
"City of West Hollywood" 556 1505 5 14
"City of Westlake Village" 32 383 0 0
"City of Whittier" 2212 2530 34 39
"Los Angeles" 106946 2644 2737 68
"Los Angeles - Adams-Normandie" 264 3219 4 49
"Los Angeles - Alsace" 366 2941 3 24
"Los Angeles - Angeles National Forest" 2 5000 0 0
"Los Angeles - Angelino Heights" 75 2998 1 40
"Los Angeles - Arleta" 1436 4178 25 73
"Los Angeles - Atwater Village" 237 1616 7 48
"Los Angeles - Baldwin Hills" 613 1969 26 84
"Los Angeles - Bel Air" 84 997 0 0
"Los Angeles - Beverly Crest" 119 950 2 16
"Los Angeles - Beverlywood" 154 1169 0 0
"Los Angeles - Boyle Heights*" 4219 4856 68 78
"Los Angeles - Brentwood" 290 937 3 10
"Los Angeles - Brookside" 3 516 0 0
"Los Angeles - Cadillac-Corning" 129 1812 1 14
"Los Angeles - Canoga Park" 1845 2826 56 86
"Los Angeles - Carthay" 211 1469 15 104
"Los Angeles - Central" 2145 5501 40 103
"Los Angeles - Century City" 114 891 0 0
"Los Angeles - Century Palms/Cove" 1482 4389 22 65
"Los Angeles - Chatsworth" 658 1775 35 94
"Los Angeles - Cheviot Hills" 70 763 2 22
"Los Angeles - Chinatown" 115 1434 3 37
"Los Angeles - Cloverdale/Cochran" 291 2000 5 34
"Los Angeles - Country Club Park" 343 2264 24 158
"Los Angeles - Crenshaw District" 300 2169 3 22
"Los Angeles - Crestview" 190 1671 20 176
"Los Angeles - Del Rey" 349 1166 10 33
"Los Angeles - Downtown*" 803 2919 15 55
"Los Angeles - Eagle Rock" 645 1629 24 61
"Los Angeles - East Hollywood" 614 2096 43 147
"Los Angeles - Echo Park" 249 1747 4 28
"Los Angeles - El Sereno" 1212 2899 34 81
"Los Angeles - Elysian Park" 95 1663 0 0
"Los Angeles - Elysian Valley" 256 2517 3 29
"Los Angeles - Encino" 587 1299 18 40
"Los Angeles - Exposition" 80 2405 2 60
"Los Angeles - Exposition Park" 1307 2910 23 51
"Los Angeles - Faircrest Heights" 32 889 2 56
"Los Angeles - Figueroa Park Square" 314 3601 4 46
"Los Angeles - Florence-Firestone" 2274 4793 27 57
"Los Angeles - Glassell Park" 684 2164 13 41
"Los Angeles - Gramercy Place" 244 2267 4 37
"Los Angeles - Granada Hills" 1170 2011 64 110
"Los Angeles - Green Meadows" 937 4357 13 60
"Los Angeles - Hancock Park" 229 1344 3 18
"Los Angeles - Harbor City" 491 1689 11 38
"Los Angeles - Harbor Gateway" 978 2243 13 30
"Los Angeles - Harbor Pines" 21 872 0 0
"Los Angeles - Harvard Heights" 556 3083 24 133
"Los Angeles - Harvard Park" 1601 4220 23 61
"Los Angeles - Highland Park" 1084 2240 19 39
