City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Agoura Hills" 158 757 1 5
"City of Alhambra" 1225 1413 27 31
"City of Arcadia" 479 829 33 57
"City of Artesia" 361 2149 8 48
"City of Avalon" 6 155 0 0
"City of Azusa" 1498 2994 22 44
"City of Baldwin Park" 2892 3767 83 108
"City of Bell" 1563 4302 41 113
"City of Bell Gardens" 1896 4402 21 49
"City of Bellflower" 2345 3017 61 78
"City of Beverly Hills" 667 1932 12 35
"City of Bradbury" 14 1310 0 0
"City of Burbank" 1489 1389 57 53
"City of Calabasas" 261 1073 12 49
"City of Carson" 1814 1933 60 64
"City of Cerritos" 556 1111 16 32
"City of Claremont" 379 1039 10 27
"City of Commerce*" 572 4377 11 84
"City of Compton" 3975 3979 69 69
"City of Covina" 1357 2768 38 78
"City of Cudahy" 1070 4395 15 62
"City of Culver City" 383 961 29 73
"City of Diamond Bar" 541 941 9 16
"City of Downey" 4026 3523 85 74
"City of Duarte" 542 2462 29 132
"City of El Monte" 4277 3647 157 134
"City of El Segundo" 130 774 1 6
"City of Gardena" 1225 1998 48 78
"City of Glendale" 3567 1727 174 84
"City of Glendora" 1235 2341 70 133
"City of Hawaiian Gardens" 529 3605 2 14
"City of Hawthorne" 1918 2160 43 48
"City of Hermosa Beach" 206 1047 4 20
"City of Hidden Hills" 7 370 0 0
"City of Huntington Park" 2853 4796 54 91
"City of Industry" 36 8238 2 458
"City of Inglewood" 2808 2472 89 78
"City of Irwindale" 69 4729 2 137
"City of La Canada Flintridge" 178 860 7 34
"City of La Habra Heights" 42 770 0 0
"City of La Mirada" 830 1673 26 52
"City of La Puente" 1467 3605 18 44
"City of La Verne" 458 1376 11 33
"City of Lakewood" 1257 1564 14 17
"City of Lancaster*" 3277 2028 50 31
"City of Lawndale" 624 1856 10 30
"City of Lomita" 239 1153 9 43
"City of Lynwood*" 3215 4462 97 135
"City of Malibu" 101 779 3 23
"City of Manhattan Beach" 354 983 5 14
"City of Maywood" 1419 5059 33 118
"City of Monrovia" 738 1902 38 98
"City of Montebello" 2269 3525 48 75
"City of Monterey Park" 945 1518 47 75
"City of Norwalk" 3191 2965 75 70
"City of Palmdale" 4003 2518 69 43
"City of Palos Verdes Estates" 95 703 2 15
"City of Paramount" 2348 4191 28 50
"City of Pico Rivera" 2389 3716 73 114
"City of Pomona" 5356 3435 123 79
"City of Rancho Palos Verdes" 293 685 13 30
"City of Redondo Beach" 546 795 11 16
"City of Rolling Hills" 11 567 0 0
"City of Rolling Hills Estates" 41 505 2 25
"City of Rosemead" 818 1478 28 51
"City of San Dimas*" 517 1498 14 41
"City of San Fernando" 898 3649 18 73
"City of San Gabriel" 626 1529 58 142
"City of San Marino" 87 655 2 15
"City of Santa Clarita" 3341 1516 47 21
"City of Santa Fe Springs" 555 3022 4 22
"City of Santa Monica" 853 923 41 44
"City of Sierra Madre" 73 664 3 27
"City of Signal Hill" 269 2280 3 25
"City of South El Monte" 785 3759 15 72
"City of South Gate" 4353 4435 66 67
"City of South Pasadena" 272 1044 26 100
"City of Temple City" 516 1415 40 110
"City of Torrance" 1402 939 68 46
"City of Vernon" 12 5742 0 0
"City of Walnut" 262 858 4 13
"City of West Covina" 2806 2593 60 55
"City of West Hollywood" 549 1486 5 14
"City of Westlake Village" 32 383 0 0
"City of Whittier" 2207 2524 34 39
"Los Angeles" 106208 2626 2718 67
"Los Angeles - Adams-Normandie" 262 3194 4 49
"Los Angeles - Alsace" 364 2925 3 24
"Los Angeles - Angeles National Forest" 2 5000 0 0
"Los Angeles - Angelino Heights" 75 2998 1 40
"Los Angeles - Arleta" 1421 4134 25 73
"Los Angeles - Atwater Village" 235 1602 7 48
"Los Angeles - Baldwin Hills" 609 1957 26 84
"Los Angeles - Bel Air" 80 949 0 0
"Los Angeles - Beverly Crest" 118 942 2 16
"Los Angeles - Beverlywood" 152 1154 0 0
"Los Angeles - Boyle Heights*" 4198 4832 67 77
"Los Angeles - Brentwood" 288 930 3 10
"Los Angeles - Brookside" 3 516 0 0
"Los Angeles - Cadillac-Corning" 128 1798 1 14
"Los Angeles - Canoga Park" 1841 2820 56 86
"Los Angeles - Carthay" 208 1448 15 104
"Los Angeles - Central" 2134 5473 40 103
"Los Angeles - Century City" 114 891 0 0
"Los Angeles - Century Palms/Cove" 1473 4362 22 65
"Los Angeles - Chatsworth" 660 1781 35 94
"Los Angeles - Cheviot Hills" 69 752 2 22
"Los Angeles - Chinatown" 115 1434 3 37
"Los Angeles - Cloverdale/Cochran" 291 2000 5 34
"Los Angeles - Country Club Park" 342 2257 24 158
"Los Angeles - Crenshaw District" 296 2140 3 22
"Los Angeles - Crestview" 189 1663 20 176
"Los Angeles - Del Rey" 347 1159 10 33
"Los Angeles - Downtown*" 792 2879 15 55
"Los Angeles - Eagle Rock" 640 1617 24 61
"Los Angeles - East Hollywood" 610 2083 43 147
"Los Angeles - Echo Park" 246 1726 4 28
"Los Angeles - El Sereno" 1205 2882 32 77
"Los Angeles - Elysian Park" 95 1663 0 0
"Los Angeles - Elysian Valley" 254 2497 3 29
"Los Angeles - Encino" 574 1271 18 40
"Los Angeles - Exposition" 79 2375 2 60
"Los Angeles - Exposition Park" 1297 2888 23 51
"Los Angeles - Faircrest Heights" 32 889 2 56
"Los Angeles - Figueroa Park Square" 314 3601 4 46
"Los Angeles - Florence-Firestone" 2263 4770 27 57
"Los Angeles - Glassell Park" 680 2152 13 41
"Los Angeles - Gramercy Place" 240 2230 4 37
"Los Angeles - Granada Hills" 1164 2000 64 110
"Los Angeles - Green Meadows" 935 4348 13 60
