City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Agoura Hills" 155 742 1 5
"City of Alhambra" 1199 1383 27 31
"City of Arcadia" 464 803 32 55
"City of Artesia" 346 2060 7 42
"City of Avalon" 5 129 0 0
"City of Azusa" 1466 2930 20 40
"City of Baldwin Park" 2803 3651 81 106
"City of Bell" 1511 4159 40 110
"City of Bell Gardens" 1835 4260 21 49
"City of Bellflower" 2282 2936 58 75
"City of Beverly Hills" 645 1868 12 35
"City of Bradbury" 14 1310 0 0
"City of Burbank" 1405 1311 57 53
"City of Calabasas" 250 1028 12 49
"City of Carson" 1772 1888 56 60
"City of Cerritos" 541 1081 14 28
"City of Claremont" 366 1003 10 27
"City of Commerce*" 550 4208 11 84
"City of Compton" 3872 3876 67 67
"City of Covina" 1328 2708 36 73
"City of Cudahy" 1057 4341 15 62
"City of Culver City" 374 938 29 73
"City of Diamond Bar" 520 904 9 16
"City of Downey" 3881 3397 83 73
"City of Duarte" 527 2394 28 127
"City of El Monte" 4191 3574 151 129
"City of El Segundo" 127 757 1 6
"City of Gardena" 1202 1961 47 77
"City of Glendale" 3375 1634 172 83
"City of Glendora" 1207 2288 66 125
"City of Hawaiian Gardens" 516 3516 2 14
"City of Hawthorne" 1881 2119 42 47
"City of Hermosa Beach" 201 1022 4 20
"City of Hidden Hills" 6 317 0 0
"City of Huntington Park" 2770 4657 51 86
"City of Industry" 36 8238 2 458
"City of Inglewood" 2762 2432 86 76
"City of Irwindale" 69 4729 2 137
"City of La Canada Flintridge" 173 836 7 34
"City of La Habra Heights" 40 733 0 0
"City of La Mirada" 809 1631 26 52
"City of La Puente" 1438 3533 17 42
"City of La Verne" 441 1325 10 30
"City of Lakewood" 1211 1507 13 16
"City of Lancaster*" 3141 1944 45 28
"City of Lawndale" 608 1809 10 30
"City of Lomita" 236 1139 9 43
"City of Lynwood*" 3126 4339 95 132
"City of Malibu" 101 779 3 23
"City of Manhattan Beach" 337 936 5 14
"City of Maywood" 1383 4931 33 118
"City of Monrovia" 720 1856 37 95
"City of Montebello" 2203 3422 47 73
"City of Monterey Park" 928 1490 45 72
"City of Norwalk" 3097 2878 71 66
"City of Palmdale" 3861 2429 65 41
"City of Palos Verdes Estates" 92 680 2 15
"City of Paramount" 2299 4104 28 50
"City of Pico Rivera" 2310 3593 71 110
"City of Pomona" 5232 3355 116 74
"City of Rancho Palos Verdes" 285 667 13 30
"City of Redondo Beach" 532 774 9 13
"City of Rolling Hills" 11 567 0 0
"City of Rolling Hills Estates" 40 493 2 25
"City of Rosemead" 798 1442 25 45
"City of San Dimas*" 496 1437 14 41
"City of San Fernando" 864 3510 18 73
"City of San Gabriel" 608 1485 57 139
"City of San Marino" 85 640 2 15
"City of Santa Clarita" 3176 1441 45 20
"City of Santa Fe Springs" 534 2908 4 22
"City of Santa Monica" 833 901 41 44
"City of Sierra Madre" 69 628 3 27
"City of Signal Hill" 264 2238 2 17
"City of South El Monte" 767 3672 15 72
"City of South Gate" 4234 4314 67 68
"City of South Pasadena" 264 1013 27 104
"City of Temple City" 511 1402 41 112
"City of Torrance" 1364 914 67 45
"City of Vernon" 10 4785 0 0
"City of Walnut" 253 829 4 13
"City of West Covina" 2738 2530 59 55
"City of West Hollywood" 526 1424 5 14
"City of Westlake Village" 31 371 0 0
"City of Whittier" 2142 2450 31 35
"Los Angeles" 103187 2551 2658 66
"Los Angeles - Adams-Normandie" 257 3133 4 49
"Los Angeles - Alsace" 352 2828 3 24
"Los Angeles - Angeles National Forest" 2 5000 0 0
"Los Angeles - Angelino Heights" 71 2838 1 40
"Los Angeles - Arleta" 1386 4033 25 73
"Los Angeles - Atwater Village" 229 1561 6 41
"Los Angeles - Baldwin Hills" 604 1941 26 84
"Los Angeles - Bel Air" 79 937 0 0
"Los Angeles - Beverly Crest" 111 886 2 16
"Los Angeles - Beverlywood" 147 1116 0 0
"Los Angeles - Boyle Heights*" 4123 4745 62 71
"Los Angeles - Brentwood" 278 898 3 10
"Los Angeles - Brookside" 3 516 0 0
