City/Community Cases "Case Rate" Deaths "Death Rate"
"Los Angeles - Cadillac-Corning" 122 1713 1 14
"Los Angeles - Canoga Park" 1784 2732 57 87
"Los Angeles - Carthay" 202 1406 15 104
"Los Angeles - Central" 2093 5368 41 105
"Los Angeles - Century City" 111 868 0 0
"Los Angeles - Century Palms/Cove" 1451 4297 21 62
"Los Angeles - Chatsworth" 633 1708 35 94
"Los Angeles - Cheviot Hills" 68 741 2 22
"Los Angeles - Chinatown" 110 1371 3 37
"Los Angeles - Cloverdale/Cochran" 288 1979 5 34
"Los Angeles - Country Club Park" 304 2006 22 145
"Los Angeles - Crenshaw District" 290 2097 3 22
"Los Angeles - Crestview" 185 1627 20 176
"Los Angeles - Del Rey" 335 1119 10 33
"Los Angeles - Downtown*" 762 2770 15 55
"Los Angeles - Eagle Rock" 631 1594 23 58
"Los Angeles - East Hollywood" 591 2018 43 147
"Los Angeles - Echo Park" 227 1592 4 28
"Los Angeles - El Sereno" 1172 2803 31 74
"Los Angeles - Elysian Park" 94 1646 0 0
"Los Angeles - Elysian Valley" 252 2478 3 29
"Los Angeles - Encino" 547 1211 18 40
"Los Angeles - Exposition" 75 2255 2 60
"Los Angeles - Exposition Park" 1267 2821 22 49
"Los Angeles - Faircrest Heights" 30 833 2 56
"Los Angeles - Figueroa Park Square" 311 3566 4 46
"Los Angeles - Florence-Firestone" 2200 4637 27 57
"Los Angeles - Glassell Park" 660 2088 13 41
"Los Angeles - Gramercy Place" 231 2146 4 37
"Los Angeles - Granada Hills" 1126 1935 63 108
"Los Angeles - Green Meadows" 906 4213 11 51
"Los Angeles - Hancock Park" 215 1262 3 18
"Los Angeles - Harbor City" 470 1617 10 34
"Los Angeles - Harbor Gateway" 949 2177 13 30
"Los Angeles - Harbor Pines" 19 789 0 0
"Los Angeles - Harvard Heights" 544 3016 23 128
"Los Angeles - Harvard Park" 1554 4096 22 58
"Los Angeles - Highland Park" 1047 2164 21 43
"Los Angeles - Historic Filipinotown" 415 2992 15 108
"Los Angeles - Hollywood" 1137 1666 14 21
"Los Angeles - Hollywood Hills" 276 938 7 24
"Los Angeles - Hyde Park" 764 2677 14 49
"Los Angeles - Jefferson Park" 252 3122 0 0
"Los Angeles - Koreatown" 1115 2157 27 52
"Los Angeles - Lafayette Square" 80 1755 3 66
"Los Angeles - Lake Balboa" 962 2279 19 45
"Los Angeles - Lakeview Terrace" 523 3982 23 175
"Los Angeles - Leimert Park" 298 1956 8 53
"Los Angeles - Lincoln Heights" 1029 3157 47 144
"Los Angeles - Little Armenia" 385 4798 51 636
"Los Angeles - Little Bangladesh" 470 1658 5 18
"Los Angeles - Little Tokyo" 79 2522 2 64
"Los Angeles - Longwood" 112 2602 0 0
"Los Angeles - Los Feliz" 198 916 2 9
"Los Angeles - Manchester Square" 191 2238 4 47
"Los Angeles - Mandeville Canyon" 26 832 0 0
"Los Angeles - Mar Vista" 304 716 6 14
"Los Angeles - Marina Peninsula" 31 711 0 0
"Los Angeles - Melrose" 1824 2348 70 90
"Los Angeles - Mid-city" 272 1810 24 160
"Los Angeles - Miracle Mile" 167 929 6 33
"Los Angeles - Mission Hills" 731 3030 31 129
"Los Angeles - Mt. Washington" 526 2179 16 66
"Los Angeles - North Hills" 1734 2816 44 71
"Los Angeles - North Hollywood" 3588 2370 64 42
"Los Angeles - Northridge" 1330 1906 42 60
"Los Angeles - Pacific Palisades" 119 559 4 19
"Los Angeles - Pacoima" 3265 4241 48 62
"Los Angeles - Palisades Highlands" 26 676 0 0
"Los Angeles - Palms" 520 1185 28 64
"Los Angeles - Panorama City" 2747 3650 89 118
"Los Angeles - Park La Brea" 99 729 1 7
"Los Angeles - Pico-Union" 1725 4123 92 220
"Los Angeles - Playa Del Rey" 27 845 0 0
"Los Angeles - Playa Vista" 132 1206 0 0
"Los Angeles - Porter Ranch" 348 978 6 17
"Los Angeles - Rancho Park" 87 1326 1 15
"Los Angeles - Regent Square" 30 1079 0 0
"Los Angeles - Reseda" 2061 2690 78 102
"Los Angeles - Reseda Ranch" 110 2373 0 0
"Los Angeles - Reynier Village" 39 922 0 0
"Los Angeles - San Pedro*" 1892 2424 27 35
"Los Angeles - Shadow Hills" 58 1306 0 0
"Los Angeles - Sherman Oaks" 994 1139 25 29
"Los Angeles - Silverlake" 599 1359 18 41
"Los Angeles - South Carthay" 108 1019 2 19
"Los Angeles - South Park" 1973 5197 28 74
"Los Angeles - St Elmo Village" 135 2945 8 175
"Los Angeles - Studio City" 232 1034 11 49
"Los Angeles - Sun Valley" 1519 2894 29 55
"Los Angeles - Sunland" 427 2092 29 142
"Los Angeles - Sycamore Square" 5 773 0 0
"Los Angeles - Sylmar*" 3099 3761 81 98
"Los Angeles - Tarzana" 598 1937 37 120
"Los Angeles - Temple-Beaudry" 1200 3039 26 66
"Los Angeles - Thai Town" 158 1611 0 0
"Los Angeles - Toluca Lake" 97 1114 0 0
"Los Angeles - Toluca Terrace" 22 1685 1 77
"Los Angeles - Toluca Woods" 18 969 0 0
"Los Angeles - Tujunga" 466 1676 14 50
"Los Angeles - University Hills" 51 1487 1 29
"Los Angeles - University Park" 1030 3751 19 69
"Los Angeles - Valley Glen" 592 1972 22 73
"Los Angeles - Valley Village" 489 1978 25 101
"Los Angeles - Van Nuys" 2805 3010 82 88
"Los Angeles - Venice" 274 809 3 9
"Los Angeles - Vermont Knolls" 701 4076 13 76
"Los Angeles - Vermont Square" 327 4271 3 39
"Los Angeles - Vermont Vista" 1851 4494 24 58
"Los Angeles - Vernon Central" 2877 5533 41 79
"Los Angeles - Victoria Park" 205 2441 4 48
"Los Angeles - View Heights" 43 1164 2 54
"Los Angeles - Watts" 1868 4377 27 63
"Los Angeles - Wellington Square" 120 2442 0 0
"Los Angeles - West Adams" 860 3113 38 138
"Los Angeles - West Hills" 510 1258 30 74
"Los Angeles - West Los Angeles" 483 1283 16 43
"Los Angeles - West Vernon" 2248 4191 47 88
"Los Angeles - Westchester" 402 779 15 29
"Los Angeles - Westlake" 2312 3895 142 239
"Los Angeles - Westwood" 342 632 6 11
"Los Angeles - Wholesale District*" 2312 6399 26 72
"Los Angeles - Wilmington" 1699 3008 17 30
"Los Angeles - Wilshire Center" 1064 2121 34 68
"Los Angeles - Winnetka" 1176 2271 17 33
"Los Angeles - Woodland Hills" 839 1233 29 43
"Unincorporated - Acton" 65 815 2 25
"Unincorporated - Agua Dulce" 25 601 0 0
"Unincorporated - Altadena" 666 1527 13 30
"Unincorporated - Anaverde" 13 862 0 0
"Unincorporated - Angeles National Forest" 5 402 0 0
"Unincorporated - Arcadia" 85 1065 3 38
"Unincorporated - Athens-Westmont" 1478 3482 27 64
"Unincorporated - Athens Village" 219 4472 10 204
"Unincorporated - Avocado Heights" 280 4133 3 44
"Unincorporated - Azusa" 472 2964 3 19
"Unincorporated - Bassett" 606 4090 9 61
"Unincorporated - Bouquet Canyon" 6 559 1 93
"Unincorporated - Bradbury" 4 3704 1 926
"Unincorporated - Canyon Country" 121 1566 0 0
"Unincorporated - Castaic*" 1920 7061 4 15
"Unincorporated - Cerritos" 16 2726 0 0
"Unincorporated - Charter Oak" 0 0 0 0
"Unincorporated - Claremont" 22 3134 3 427
"Unincorporated - Covina" 410 2438 6 36
"Unincorporated - Covina (Charter Oak)" 294 2237 2 15
"Unincorporated - Del Aire" 72 1639 2 46
"Unincorporated - Del Rey" 3 943 0 0
"Unincorporated - Del Sur" 12 497 1 41
"Unincorporated - Desert View Highlands" 44 1765 1 40
"Unincorporated - Duarte" 140 3162 4 90
"Unincorporated - East Covina" 4 1216 0 0
"Unincorporated - East La Mirada" 98 1852 0 0
"Unincorporated - East Lancaster" 0 0 0 0
"Unincorporated - East Los Angeles" 6003 4792 101 81
"Unincorporated - East Pasadena" 77 1203 1 16
"Unincorporated - East Rancho Dominguez" 658 4298 14 91
"Unincorporated - East Whittier" 79 1489 0 0
"Unincorporated - El Camino Village" 144 1638 3 34
"Unincorporated - El Monte" 6 4138 0 0
"Unincorporated - Elizabeth Lake" 7 421 0 0
"Unincorporated - Florence-Firestone" 3296 5094 45 70
"Unincorporated - Franklin Canyon" 0 0 0 0
"Unincorporated - Glendora" 12 1818 0 0
"Unincorporated - Hacienda Heights" 974 1742 16 29
"Unincorporated - Harbor Gateway" 0 0 0 0
"Unincorporated - Hawthorne" 59 2347 0 0
"Unincorporated - Hi Vista" 7 638 0 0
"Unincorporated - Kagel/Lopez Canyons" 34 2408 1 71
"Unincorporated - La Crescenta-Montrose" 184 929 2 10
"Unincorporated - La Habra Heights" 0 0 0 0
"Unincorporated - La Rambla" 77 3711 12 578
"Unincorporated - La Verne*" 33 1618 0 0
"Unincorporated - Ladera Heights" 94 1329 3 42
"Unincorporated - Lake Hughes" 3 449 0 0
"Unincorporated - Lake Los Angeles" 209 1608 4 31
"Unincorporated - Lake Manor" 24 1461 0 0
"Unincorporated - Lakewood" 0 0 0 0
"Unincorporated - Lennox" 678 3008 6 27
"Unincorporated - Leona Valley" 17 971 0 0
"Unincorporated - Littlerock" 83 2064 0 0
"Unincorporated - Littlerock/Juniper Hills" 8 617 0 0
"Unincorporated - Littlerock/Pearblossom" 83 2326 0 0
"Unincorporated - Llano" 3 342 0 0
"Unincorporated - Marina del Rey" 68 723 1 11
"Unincorporated - Miracle Mile" 0 0 0 0
"Unincorporated - Monrovia" 78 2010 0 0
"Unincorporated - Newhall" 6 2727 0 0
"Unincorporated - North Lancaster" 18 1503 0 0
"Unincorporated - North Whittier" 203 2428 10 120
"Unincorporated - Northeast San Gabriel" 323 1344 8 33
"Unincorporated - Padua Hills" 3 1395 0 0
"Unincorporated - Palmdale" 21 2494 0 0
"Unincorporated - Palos Verdes Peninsula" 3 483 0 0
"Unincorporated - Pearblossom/Llano" 21 1074 1 51
"Unincorporated - Pellissier Village" 26 4200 0 0
"Unincorporated - Placerita Canyon" 0 0 0 0
"Unincorporated - Pomona" 15 774 1 52
"Unincorporated - Quartz Hill" 158 1224 11 85
"Unincorporated - Rancho Dominguez" 71 2668 2 75
"Unincorporated - Roosevelt" 8 859 0 0
"Unincorporated - Rosewood" 28 2177 0 0
"Unincorporated - Rosewood/East Gardena" 21 1760 1 84
"Unincorporated - Rosewood/West Rancho Dominguez" 103 3065 0 0
"Unincorporated - Rowland Heights" 640 1254 13 25
"Unincorporated - San Clemente Island" 0 0 0 0
"Unincorporated - San Francisquito Canyon/Bouquet Canyon" 0 0 0 0
"Unincorporated - San Jose Hills" 672 3323 10 49
"Unincorporated - San Pasqual" 10 491 0 0
"Unincorporated - Sand Canyon" 6 1948 0 0
"Unincorporated - Santa Catalina Island" 26 9738 0 0
"Unincorporated - Santa Monica Mountains*" 110 591 1 5
"Unincorporated - Saugus" 27 17419 0 0
"Unincorporated - Saugus/Canyon Country" 1 281 0 0
"Unincorporated - South Antelope Valley" 2 440 0 0
"Unincorporated - South El Monte" 79 4401 0 0
"Unincorporated - South San Gabriel" 173 1955 5 57
"Unincorporated - South Whittier" 1677 2832 31 52
"Unincorporated - Southeast Antelope Valley" 13 1665 0 0
"Unincorporated - Stevenson Ranch" 156 744 2 10
"Unincorporated - Sun Village" 157 2601 2 33
"Unincorporated - Sunrise Village" 53 4090 0 0
"Unincorporated - Twin Lakes/Oat Mountain" 12 724 1 60
"Unincorporated - Val Verde" 67 2025 1 30
"Unincorporated - Valencia" 42 1367 1 33
"Unincorporated - Valinda" 729 3119 7 30
"Unincorporated - View Park/Windsor Hills" 140 1203 3 26
"Unincorporated - Walnut Park" 682 4225 12 74
"Unincorporated - West Antelope Valley" 5 331 0 0
"Unincorporated - West Carson" 411 1861 34 154
"Unincorporated - West Chatsworth" 0 0 0 0
"Unincorporated - West LA" 43 4517 2 210
"Unincorporated - West Puente Valley" 365 3711 3 31
"Unincorporated - West Rancho Dominguez" 21 1545 3 221
"Unincorporated - West Whittier/Los Nietos" 936 3476 16 59
"Unincorporated - Westfield/Academy Hills" 7 538 0 0
"Unincorporated - Westhills" 9 1073 0 0
"Unincorporated - White Fence Farms" 43 1168 0 0
"Unincorporated - Whittier" 61 1612 1 26
"Unincorporated - Whittier Narrows" 0 0 0 0
"Unincorporated - Willowbrook" 1405 4024 19 54
"Unincorporated - Wiseburn" 119 1974 1 17
"-  Under Investigation" 4870  36 
