City/Community Cases "Case Rate" Deaths "Death Rate"
"Unincorporated - Anaverde" 13 862 0 0
"Unincorporated - Angeles National Forest" 5 402 0 0
"Unincorporated - Arcadia" 85 1065 3 38
"Unincorporated - Athens-Westmont" 1486 3501 27 64
"Unincorporated - Athens Village" 220 4493 10 204
"Unincorporated - Avocado Heights" 282 4162 3 44
"Unincorporated - Azusa" 475 2983 3 19
"Unincorporated - Bassett" 607 4097 9 61
"Unincorporated - Bouquet Canyon" 6 559 1 93
"Unincorporated - Bradbury" 4 3704 1 926
"Unincorporated - Canyon Country" 122 1579 0 0
"Unincorporated - Castaic*" 1923 7072 4 15
"Unincorporated - Cerritos" 16 2726 0 0
"Unincorporated - Charter Oak" 0 0 0 0
"Unincorporated - Claremont" 22 3134 3 427
"Unincorporated - Covina" 411 2444 6 36
"Unincorporated - Covina (Charter Oak)" 298 2267 2 15
"Unincorporated - Del Aire" 72 1639 2 46
"Unincorporated - Del Rey" 3 943 0 0
"Unincorporated - Del Sur" 12 497 1 41
"Unincorporated - Desert View Highlands" 44 1765 1 40
"Unincorporated - Duarte" 141 3184 4 90
"Unincorporated - East Covina" 4 1216 0 0
"Unincorporated - East La Mirada" 99 1871 0 0
"Unincorporated - East Lancaster" 0 0 0 0
"Unincorporated - East Los Angeles" 6021 4806 101 81
"Unincorporated - East Pasadena" 77 1203 1 16
"Unincorporated - East Rancho Dominguez" 662 4325 14 91
"Unincorporated - East Whittier" 82 1545 0 0
"Unincorporated - El Camino Village" 145 1649 3 34
"Unincorporated - El Monte" 6 4138 0 0
"Unincorporated - Elizabeth Lake" 7 421 0 0
"Unincorporated - Florence-Firestone" 3301 5102 47 73
"Unincorporated - Franklin Canyon" 0 0 0 0
"Unincorporated - Glendora" 12 1818 0 0
"Unincorporated - Hacienda Heights" 979 1751 16 29
"Unincorporated - Harbor Gateway" 0 0 0 0
"Unincorporated - Hawthorne" 60 2387 0 0
"Unincorporated - Hi Vista" 7 638 0 0
"Unincorporated - Kagel/Lopez Canyons" 34 2408 1 71
"Unincorporated - La Crescenta-Montrose" 184 929 2 10
"Unincorporated - La Habra Heights" 0 0 0 0
"Unincorporated - La Rambla" 77 3711 12 578
"Unincorporated - La Verne*" 33 1618 0 0
"Unincorporated - Ladera Heights" 94 1329 3 42
"Unincorporated - Lake Hughes" 2 299 0 0
"Unincorporated - Lake Los Angeles" 211 1624 4 31
"Unincorporated - Lake Manor" 24 1461 0 0
"Unincorporated - Lakewood" 0 0 0 0
"Unincorporated - Lennox" 681 3021 6 27
"Unincorporated - Leona Valley" 17 971 0 0
"Unincorporated - Littlerock" 83 2064 0 0
"Unincorporated - Littlerock/Juniper Hills" 8 617 0 0
"Unincorporated - Littlerock/Pearblossom" 83 2326 0 0
"Unincorporated - Llano" 3 342 0 0
"Unincorporated - Marina del Rey" 68 723 1 11
"Unincorporated - Miracle Mile" 0 0 0 0
"Unincorporated - Monrovia" 80 2061 0 0
"Unincorporated - Newhall" 6 2727 0 0
"Unincorporated - North Lancaster" 18 1503 0 0
"Unincorporated - North Whittier" 203 2428 10 120
"Unincorporated - Northeast San Gabriel" 324 1348 8 33
"Unincorporated - Padua Hills" 3 1395 0 0
"Unincorporated - Palmdale" 21 2494 0 0
"Unincorporated - Palos Verdes Peninsula" 3 483 0 0
"Unincorporated - Pearblossom/Llano" 23 1176 1 51
"Unincorporated - Pellissier Village" 26 4200 0 0
"Unincorporated - Placerita Canyon" 0 0 0 0
"Unincorporated - Pomona" 15 774 1 52
"Unincorporated - Quartz Hill" 157 1216 11 85
"Unincorporated - Rancho Dominguez" 71 2668 2 75
"Unincorporated - Roosevelt" 8 859 0 0
"Unincorporated - Rosewood" 28 2177 0 0
"Unincorporated - Rosewood/East Gardena" 21 1760 1 84
"Unincorporated - Rosewood/West Rancho Dominguez" 104 3094 0 0
"Unincorporated - Rowland Heights" 640 1254 13 25
"Unincorporated - San Clemente Island" 0 0 0 0
"Unincorporated - San Francisquito Canyon/Bouquet Canyon" 0 0 0 0
"Unincorporated - San Jose Hills" 673 3328 10 49
"Unincorporated - San Pasqual" 10 491 0 0
"Unincorporated - Sand Canyon" 6 1948 0 0
"Unincorporated - Santa Catalina Island" 26 9738 0 0
"Unincorporated - Santa Monica Mountains*" 110 591 1 5
"Unincorporated - Saugus" 27 17419 0 0
"Unincorporated - Saugus/Canyon Country" 1 281 0 0
"Unincorporated - South Antelope Valley" 3 659 0 0
"Unincorporated - South El Monte" 79 4401 0 0
"Unincorporated - South San Gabriel" 174 1967 5 57
"Unincorporated - South Whittier" 1687 2849 31 52
"Unincorporated - Southeast Antelope Valley" 13 1665 0 0
"Unincorporated - Stevenson Ranch" 156 744 2 10
"Unincorporated - Sun Village" 159 2634 2 33
"Unincorporated - Sunrise Village" 53 4090 0 0
"Unincorporated - Twin Lakes/Oat Mountain" 12 724 1 60
"Unincorporated - Val Verde" 66 1995 1 30
"Unincorporated - Valencia" 42 1367 1 33
"Unincorporated - Valinda" 732 3132 7 30
"Unincorporated - View Park/Windsor Hills" 140 1203 3 26
"Unincorporated - Walnut Park" 686 4250 12 74
"Unincorporated - West Antelope Valley" 5 331 0 0
"Unincorporated - West Carson" 412 1865 35 158
"Unincorporated - West Chatsworth" 0 0 0 0
"Unincorporated - West LA" 43 4517 2 210
"Unincorporated - West Puente Valley" 369 3752 3 31
"Unincorporated - West Rancho Dominguez" 21 1545 3 221
"Unincorporated - West Whittier/Los Nietos" 939 3487 15 56
"Unincorporated - Westfield/Academy Hills" 7 538 0 0
"Unincorporated - Westhills" 9 1073 0 0
"Unincorporated - White Fence Farms" 43 1168 0 0
"Unincorporated - Whittier" 62 1638 1 26
"Unincorporated - Whittier Narrows" 0 0 0 0
"Unincorporated - Willowbrook" 1413 4047 20 57
"Unincorporated - Wiseburn" 119 1974 1 17
"-  Under Investigation" 4854 0 34 0
