City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Agoura Hills" 156 747 1 5
"City of Alhambra" 1205 1389 27 31
"City of Arcadia" 468 810 33 57
"City of Artesia" 348 2072 8 48
"City of Avalon" 5 129 0 0
"City of Azusa" 1471 2940 20 40
"City of Baldwin Park" 2815 3667 83 108
"City of Bell" 1523 4192 40 110
"City of Bell Gardens" 1844 4281 21 49
"City of Bellflower" 2291 2947 59 76
"City of Beverly Hills" 649 1880 12 35
"City of Bradbury" 14 1310 0 0
"City of Burbank" 1414 1319 57 53
"City of Calabasas" 251 1032 12 49
"City of Carson" 1775 1891 57 61
"City of Cerritos" 542 1083 15 30
"City of Claremont" 363 995 10 27
"City of Commerce*" 550 4208 11 84
"City of Compton" 3888 3892 68 68
"City of Covina" 1335 2723 35 71
"City of Cudahy" 1058 4346 15 62
"City of Culver City" 376 943 29 73
"City of Diamond Bar" 525 913 9 16
"City of Downey" 3911 3423 83 73
"City of Duarte" 530 2407 29 132
"City of El Monte" 4204 3585 154 131
"City of El Segundo" 128 763 1 6
"City of Gardena" 1206 1967 47 77
"City of Glendale" 3409 1651 173 84
"City of Glendora" 1209 2291 67 127
"City of Hawaiian Gardens" 518 3530 2 14
"City of Hawthorne" 1883 2121 42 47
"City of Hermosa Beach" 202 1027 4 20
"City of Hidden Hills" 6 317 0 0
"City of Huntington Park" 2780 4674 53 89
"City of Industry" 36 8238 2 458
"City of Inglewood" 2765 2434 89 78
"City of Irwindale" 69 4729 2 137
"City of La Canada Flintridge" 174 841 7 34
"City of La Habra Heights" 40 733 0 0
"City of La Mirada" 812 1637 27 54
"City of La Puente" 1442 3543 18 44
"City of La Verne" 442 1328 10 30
"City of Lakewood" 1219 1517 13 16
"City of Lancaster*" 3151 1950 46 28
"City of Lawndale" 613 1824 10 30
"City of Lomita" 236 1139 9 43
"City of Lynwood*" 3138 4355 95 132
"City of Malibu" 101 779 3 23
"City of Manhattan Beach" 344 956 5 14
"City of Maywood" 1392 4963 33 118
"City of Monrovia" 724 1866 37 95
"City of Montebello" 2213 3438 48 75
"City of Monterey Park" 933 1499 46 74
"City of Norwalk" 3106 2886 72 67
"City of Palmdale" 3883 2443 67 42
"City of Palos Verdes Estates" 92 680 2 15
"City of Paramount" 2307 4118 28 50
"City of Pico Rivera" 2318 3606 73 114
"City of Pomona" 5235 3357 118 76
"City of Rancho Palos Verdes" 285 667 13 30
"City of Redondo Beach" 534 777 9 13
"City of Rolling Hills" 11 567 0 0
"City of Rolling Hills Estates" 40 493 2 25
"City of Rosemead" 801 1447 25 45
"City of San Dimas*" 499 1446 14 41
"City of San Fernando" 864 3510 18 73
"City of San Gabriel" 616 1504 58 142
"City of San Marino" 85 640 2 15
"City of Santa Clarita" 3213 1458 45 20
"City of Santa Fe Springs" 540 2941 4 22
"City of Santa Monica" 834 902 42 45
"City of Sierra Madre" 71 646 3 27
"City of Signal Hill" 264 2238 2 17
"City of South El Monte" 771 3692 15 72
"City of South Gate" 4248 4328 68 69
"City of South Pasadena" 265 1017 27 104
"City of Temple City" 514 1410 41 112
"City of Torrance" 1365 914 68 46
"City of Vernon" 10 4785 0 0
"City of Walnut" 253 829 4 13
"City of West Covina" 2749 2540 59 55
"City of West Hollywood" 531 1437 5 14
"City of Westlake Village" 31 371 0 0
"City of Whittier" 2151 2460 31 35
"Los Angeles" 103672 2563 2687 66
"Los Angeles - Adams-Normandie" 258 3146 4 49
"Los Angeles - Alsace" 353 2836 3 24
"Los Angeles - Angeles National Forest" 2 5000 0 0
"Los Angeles - Angelino Heights" 74 2958 1 40
"Los Angeles - Arleta" 1387 4035 25 73
"Los Angeles - Atwater Village" 230 1568 7 48
"Los Angeles - Baldwin Hills" 604 1941 26 84
"Los Angeles - Bel Air" 79 937 0 0
"Los Angeles - Beverly Crest" 113 902 2 16
"Los Angeles - Beverlywood" 147 1116 0 0
"Los Angeles - Boyle Heights*" 4130 4753 66 76
"Los Angeles - Brentwood" 278 898 3 10
"Los Angeles - Brookside" 3 516 0 0
"Los Angeles - Cadillac-Corning" 122 1713 1 14
"Los Angeles - Canoga Park" 1789 2740 57 87
"Los Angeles - Carthay" 202 1406 15 104
"Los Angeles - Central" 2099 5383 41 105
"Los Angeles - Century City" 111 868 0 0
"Los Angeles - Century Palms/Cove" 1452 4300 21 62
"Los Angeles - Chatsworth" 636 1716 35 94
"Los Angeles - Cheviot Hills" 68 741 2 22
"Los Angeles - Chinatown" 111 1384 3 37
"Los Angeles - Cloverdale/Cochran" 289 1986 5 34
"Los Angeles - Country Club Park" 313 2066 22 145
"Los Angeles - Crenshaw District" 290 2097 3 22
"Los Angeles - Crestview" 185 1627 20 176
"Los Angeles - Del Rey" 336 1122 10 33
"Los Angeles - Downtown*" 773 2810 15 55
"Los Angeles - Eagle Rock" 630 1591 24 61
"Los Angeles - East Hollywood" 591 2018 43 147
"Los Angeles - Echo Park" 227 1592 4 28
"Los Angeles - El Sereno" 1176 2813 32 77
"Los Angeles - Elysian Park" 94 1646 0 0
"Los Angeles - Elysian Valley" 252 2478 3 29
"Los Angeles - Encino" 554 1226 18 40
"Los Angeles - Exposition" 75 2255 2 60
"Los Angeles - Exposition Park" 1275 2839 22 49
"Los Angeles - Faircrest Heights" 30 833 2 56
"Los Angeles - Figueroa Park Square" 311 3566 4 46
"Los Angeles - Florence-Firestone" 2212 4662 27 57
"Los Angeles - Glassell Park" 669 2117 13 41
"Los Angeles - Gramercy Place" 232 2155 4 37
"Los Angeles - Granada Hills" 1132 1945 64 110
"Los Angeles - Green Meadows" 911 4236 12 56
"Los Angeles - Hancock Park" 217 1274 3 18
"Los Angeles - Harbor City" 472 1624 11 38
"Los Angeles - Harbor Gateway" 951 2181 13 30
"Los Angeles - Harbor Pines" 19 789 0 0
"Los Angeles - Harvard Heights" 543 3011 23 128
"Los Angeles - Harvard Park" 1562 4118 22 58
"Los Angeles - Highland Park" 1052 2174 21 43
"Los Angeles - Historic Filipinotown" 421 3035 15 108
"Los Angeles - Hollywood" 1142 1673 14 21
"Los Angeles - Hollywood Hills" 277 941 7 24
"Los Angeles - Hyde Park" 765 2680 14 49
"Los Angeles - Jefferson Park" 252 3122 0 0
"Los Angeles - Koreatown" 1119 2165 27 52
"Los Angeles - Lafayette Square" 81 1777 3 66
"Los Angeles - Lake Balboa" 968 2294 19 45
"Los Angeles - Lakeview Terrace" 528 4020 23 175
"Los Angeles - Leimert Park" 298 1956 8 53
"Los Angeles - Lincoln Heights" 1035 3175 47 144
"Los Angeles - Little Armenia" 384 4785 51 636
"Los Angeles - Little Bangladesh" 472 1665 5 18
"Los Angeles - Little Tokyo" 78 2490 2 64
"Los Angeles - Longwood" 112 2602 0 0
"Los Angeles - Los Feliz" 198 916 2 9
"Los Angeles - Manchester Square" 190 2226 4 47
"Los Angeles - Mandeville Canyon" 26 832 0 0
"Los Angeles - Mar Vista" 305 718 6 14
"Los Angeles - Marina Peninsula" 32 734 0 0
"Los Angeles - Melrose" 1829 2354 70 90
"Los Angeles - Mid-city" 275 1830 24 160
"Los Angeles - Miracle Mile" 167 929 6 33
"Los Angeles - Mission Hills" 736 3051 32 133
"Los Angeles - Mt. Washington" 529 2191 16 66
"Los Angeles - North Hills" 1744 2832 44 71
"Los Angeles - North Hollywood" 3610 2384 66 44
"Los Angeles - Northridge" 1339 1918 43 62
"Los Angeles - Pacific Palisades" 121 568 4 19
"Los Angeles - Pacoima" 3286 4269 48 62
"Los Angeles - Palisades Highlands" 26 676 0 0
"Los Angeles - Palms" 524 1194 29 66
"Los Angeles - Panorama City" 2762 3670 90 120
"Los Angeles - Park La Brea" 101 744 1 7
"Los Angeles - Pico-Union" 1727 4127 92 220
"Los Angeles - Playa Del Rey" 27 845 0 0
"Los Angeles - Playa Vista" 133 1215 0 0
"Los Angeles - Porter Ranch" 352 989 6 17
"Los Angeles - Rancho Park" 87 1326 1 15
"Los Angeles - Regent Square" 30 1079 0 0
"Los Angeles - Reseda" 2064 2694 80 104
"Los Angeles - Reseda Ranch" 110 2373 0 0
"Los Angeles - Reynier Village" 39 922 0 0
"Los Angeles - San Pedro*" 1901 2436 27 35
"Los Angeles - Shadow Hills" 59 1328 0 0
"Los Angeles - Sherman Oaks" 997 1143 26 30
"Los Angeles - Silverlake" 602 1366 18 41
"Los Angeles - South Carthay" 109 1029 2 19
"Los Angeles - South Park" 1984 5226 28 74
"Los Angeles - St Elmo Village" 135 2945 8 175
"Los Angeles - Studio City" 234 1043 11 49
"Los Angeles - Sun Valley" 1535 2925 29 55
"Los Angeles - Sunland" 430 2107 29 142
"Los Angeles - Sycamore Square" 5 773 0 0
"Los Angeles - Sylmar*" 3115 3780 82 100
"Los Angeles - Tarzana" 602 1950 37 120
"Los Angeles - Temple-Beaudry" 1202 3044 26 66
"Los Angeles - Thai Town" 158 1611 0 0
"Los Angeles - Toluca Lake" 98 1126 0 0
"Los Angeles - Toluca Terrace" 22 1685 1 77
"Los Angeles - Toluca Woods" 18 969 0 0
"Los Angeles - Tujunga" 471 1694 14 50
"Los Angeles - University Hills" 51 1487 1 29
"Los Angeles - University Park" 1045 3806 19 69
"Los Angeles - Valley Glen" 599 1996 22 73
"Los Angeles - Valley Village" 488 1974 25 101
"Los Angeles - Van Nuys" 2817 3023 82 88
"Los Angeles - Venice" 275 812 3 9
"Los Angeles - Vermont Knolls" 704 4093 14 81
"Los Angeles - Vermont Square" 329 4297 3 39
"Los Angeles - Vermont Vista" 1861 4519 25 61
"Los Angeles - Vernon Central" 2894 5566 41 79
"Los Angeles - Victoria Park" 206 2453 4 48
"Los Angeles - View Heights" 43 1164 3 81
"Los Angeles - Watts" 1881 4408 28 66
"Los Angeles - Wellington Square" 120 2442 0 0
"Los Angeles - West Adams" 861 3116 38 138
"Los Angeles - West Hills" 514 1268 30 74
"Los Angeles - West Los Angeles" 483 1283 15 40
"Los Angeles - West Vernon" 2257 4207 48 89
"Los Angeles - Westchester" 403 781 15 29
"Los Angeles - Westlake" 2318 3905 142 239
"Los Angeles - Westwood" 347 641 6 11
"Los Angeles - Wholesale District*" 2326 6438 26 72
"Los Angeles - Wilmington" 1705 3018 18 32
"Los Angeles - Wilshire Center" 1070 2133 35 70
"Los Angeles - Winnetka" 1181 2281 18 35
"Los Angeles - Woodland Hills" 842 1237 31 46
"Unincorporated - Acton" 66 828 2 25
"Unincorporated - Agua Dulce" 26 625 0 0
"Unincorporated - Altadena" 668 1531 13 30
