City/Community Cases "Case Rate" Deaths "Death Rate"
"Los Angeles - Park La Brea" 101 744 1 7
"Los Angeles - Pico-Union" 1733 4142 93 222
"Los Angeles - Playa Del Rey" 27 845 0 0
"Los Angeles - Playa Vista" 134 1224 0 0
"Los Angeles - Porter Ranch" 352 989 6 17
"Los Angeles - Rancho Park" 87 1326 1 15
"Los Angeles - Regent Square" 30 1079 0 0
"Los Angeles - Reseda" 2076 2710 80 104
"Los Angeles - Reseda Ranch" 110 2373 0 0
"Los Angeles - Reynier Village" 39 922 0 0
"Los Angeles - San Pedro*" 1908 2445 27 35
"Los Angeles - Shadow Hills" 60 1351 0 0
"Los Angeles - Sherman Oaks" 1003 1150 26 30
"Los Angeles - Silverlake" 606 1375 18 41
"Los Angeles - South Carthay" 109 1029 2 19
"Los Angeles - South Park" 1992 5247 28 74
"Los Angeles - St Elmo Village" 137 2989 8 175
"Los Angeles - Studio City" 236 1052 11 49
"Los Angeles - Sun Valley" 1543 2940 29 55
"Los Angeles - Sunland" 431 2112 29 142
"Los Angeles - Sycamore Square" 5 773 0 0
"Los Angeles - Sylmar*" 3140 3811 83 101
"Los Angeles - Tarzana" 608 1969 37 120
"Los Angeles - Temple-Beaudry" 1206 3055 27 68
"Los Angeles - Thai Town" 157 1601 0 0
"Los Angeles - Toluca Lake" 99 1137 0 0
"Los Angeles - Toluca Terrace" 23 1761 1 77
"Los Angeles - Toluca Woods" 18 969 0 0
"Los Angeles - Tujunga" 474 1704 14 50
"Los Angeles - University Hills" 52 1516 1 29
"Los Angeles - University Park" 1051 3828 19 69
"Los Angeles - Valley Glen" 605 2016 22 73
"Los Angeles - Valley Village" 493 1994 25 101
"Los Angeles - Van Nuys" 2837 3044 85 91
"Los Angeles - Venice" 281 829 3 9
"Los Angeles - Vermont Knolls" 705 4099 14 81
"Los Angeles - Vermont Square" 330 4310 3 39
"Los Angeles - Vermont Vista" 1871 4543 25 61
"Los Angeles - Vernon Central" 2906 5589 41 79
"Los Angeles - Victoria Park" 206 2453 4 48
"Los Angeles - View Heights" 43 1164 3 81
"Los Angeles - Watts" 1885 4417 28 66
"Los Angeles - Wellington Square" 120 2442 0 0
"Los Angeles - West Adams" 863 3123 38 138
"Los Angeles - West Hills" 516 1273 30 74
"Los Angeles - West Los Angeles" 484 1286 15 40
"Los Angeles - West Vernon" 2267 4226 48 89
"Los Angeles - Westchester" 406 787 15 29
"Los Angeles - Westlake" 2329 3924 142 239
"Los Angeles - Westwood" 352 651 6 11
"Los Angeles - Wholesale District*" 2330 6449 26 72
"Los Angeles - Wilmington" 1710 3027 18 32
"Los Angeles - Wilshire Center" 1076 2145 35 70
"Los Angeles - Winnetka" 1188 2294 18 35
"Los Angeles - Woodland Hills" 845 1242 31 46
"Unincorporated - Acton" 66 828 2 25
"Unincorporated - Agua Dulce" 26 625 0 0
"Unincorporated - Altadena" 671 1538 13 30
"Unincorporated - Anaverde" 13 862 0 0
"Unincorporated - Angeles National Forest" 5 402 0 0
"Unincorporated - Arcadia" 85 1065 3 38
"Unincorporated - Athens-Westmont" 1489 3508 27 64
"Unincorporated - Athens Village" 224 4574 10 204
"Unincorporated - Avocado Heights" 283 4177 3 44
"Unincorporated - Azusa" 476 2989 3 19
"Unincorporated - Bassett" 609 4110 9 61
"Unincorporated - Bouquet Canyon" 6 559 1 93
"Unincorporated - Bradbury" 4 3704 1 926
"Unincorporated - Canyon Country" 122 1579 0 0
"Unincorporated - Castaic*" 1923 7072 4 15
"Unincorporated - Cerritos" 16 2726 0 0
"Unincorporated - Charter Oak" 0 0 0 0
"Unincorporated - Claremont" 22 3134 3 427
"Unincorporated - Covina" 413 2456 7 42
"Unincorporated - Covina (Charter Oak)" 298 2267 2 15
"Unincorporated - Del Aire" 73 1662 2 46
"Unincorporated - Del Rey" 3 943 0 0
"Unincorporated - Del Sur" 13 538 1 41
"Unincorporated - Desert View Highlands" 44 1765 1 40
"Unincorporated - Duarte" 141 3184 4 90
"Unincorporated - East Covina" 4 1216 0 0
"Unincorporated - East La Mirada" 99 1871 0 0
"Unincorporated - East Lancaster" 0 0 0 0
"Unincorporated - East Los Angeles" 6053 4832 101 81
"Unincorporated - East Pasadena" 77 1203 1 16
"Unincorporated - East Rancho Dominguez" 664 4338 14 91
"Unincorporated - East Whittier" 82 1545 0 0
"Unincorporated - El Camino Village" 144 1638 3 34
"Unincorporated - El Monte" 6 4138 0 0
"Unincorporated - Elizabeth Lake" 7 421 0 0
"Unincorporated - Florence-Firestone" 3308 5112 48 74
"Unincorporated - Franklin Canyon" 0 0 0 0
"Unincorporated - Glendora" 12 1818 0 0
"Unincorporated - Hacienda Heights" 983 1758 16 29
"Unincorporated - Harbor Gateway" 0 0 0 0
"Unincorporated - Hawthorne" 60 2387 0 0
"Unincorporated - Hi Vista" 7 638 0 0
"Unincorporated - Kagel/Lopez Canyons" 36 2550 1 71
"Unincorporated - La Crescenta-Montrose" 189 954 2 10
"Unincorporated - La Habra Heights" 0 0 0 0
"Unincorporated - La Rambla" 77 3711 12 578
"Unincorporated - La Verne*" 33 1618 0 0
"Unincorporated - Ladera Heights" 94 1329 3 42
"Unincorporated - Lake Hughes" 2 299 0 0
"Unincorporated - Lake Los Angeles" 214 1647 4 31
"Unincorporated - Lake Manor" 24 1461 0 0
"Unincorporated - Lakewood" 0 0 0 0
"Unincorporated - Lennox" 682 3025 6 27
"Unincorporated - Leona Valley" 17 971 0 0
"Unincorporated - Littlerock" 83 2064 0 0
"Unincorporated - Littlerock/Juniper Hills" 8 617 0 0
"Unincorporated - Littlerock/Pearblossom" 83 2326 0 0
"Unincorporated - Llano" 3 342 0 0
"Unincorporated - Marina del Rey" 68 723 1 11
"Unincorporated - Miracle Mile" 0 0 0 0
"Unincorporated - Monrovia" 80 2061 0 0
"Unincorporated - Newhall" 6 2727 0 0
"Unincorporated - North Lancaster" 18 1503 0 0
"Unincorporated - North Whittier" 203 2428 10 120
"Unincorporated - Northeast San Gabriel" 325 1352 8 33
"Unincorporated - Padua Hills" 3 1395 0 0
"Unincorporated - Palmdale" 21 2494 0 0
"Unincorporated - Palos Verdes Peninsula" 3 483 0 0
"Unincorporated - Pearblossom/Llano" 24 1227 1 51
"Unincorporated - Pellissier Village" 26 4200 0 0
"Unincorporated - Placerita Canyon" 0 0 0 0
"Unincorporated - Pomona" 16 826 1 52
"Unincorporated - Quartz Hill" 160 1240 11 85
"Unincorporated - Rancho Dominguez" 72 2706 2 75
"Unincorporated - Roosevelt" 8 859 0 0
"Unincorporated - Rosewood" 28 2177 0 0
"Unincorporated - Rosewood/East Gardena" 22 1844 1 84
"Unincorporated - Rosewood/West Rancho Dominguez" 104 3094 0 0
"Unincorporated - Rowland Heights" 643 1260 13 25
"Unincorporated - San Clemente Island" 0 0 0 0
"Unincorporated - San Francisquito Canyon/Bouquet Canyon" 0 0 0 0
"Unincorporated - San Jose Hills" 675 3338 10 49
"Unincorporated - San Pasqual" 10 491 0 0
"Unincorporated - Sand Canyon" 6 1948 0 0
"Unincorporated - Santa Catalina Island" 25 9363 0 0
"Unincorporated - Santa Monica Mountains*" 111 596 1 5
"Unincorporated - Saugus" 27 17419 0 0
"Unincorporated - Saugus/Canyon Country" 1 281 0 0
"Unincorporated - South Antelope Valley" 3 659 0 0
"Unincorporated - South El Monte" 80 4457 0 0
"Unincorporated - South San Gabriel" 173 1955 5 57
"Unincorporated - South Whittier" 1696 2864 31 52
"Unincorporated - Southeast Antelope Valley" 13 1665 0 0
"Unincorporated - Stevenson Ranch" 157 749 2 10
"Unincorporated - Sun Village" 159 2634 2 33
"Unincorporated - Sunrise Village" 53 4090 0 0
"Unincorporated - Twin Lakes/Oat Mountain" 12 724 1 60
"Unincorporated - Val Verde" 67 2025 1 30
"Unincorporated - Valencia" 42 1367 1 33
"Unincorporated - Valinda" 731 3128 7 30
"Unincorporated - View Park/Windsor Hills" 140 1203 3 26
"Unincorporated - Walnut Park" 688 4262 12 74
"Unincorporated - West Antelope Valley" 5 331 0 0
"Unincorporated - West Carson" 412 1865 35 158
"Unincorporated - West Chatsworth" 0 0 0 0
"Unincorporated - West LA" 43 4517 2 210
"Unincorporated - West Puente Valley" 370 3762 3 31
"Unincorporated - West Rancho Dominguez" 21 1545 3 221
"Unincorporated - West Whittier/Los Nietos" 943 3502 15 56
"Unincorporated - Westfield/Academy Hills" 7 538 0 0
"Unincorporated - Westhills" 9 1073 0 0
"Unincorporated - White Fence Farms" 43 1168 0 0
"Unincorporated - Whittier" 62 1638 1 26
"Unincorporated - Whittier Narrows" 0 0 0 0
"Unincorporated - Willowbrook" 1417 4059 20 57
"Unincorporated - Wiseburn" 119 1974 1 17
"-  Under Investigation" 4869 0 34 0
