City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Agoura Hills" 157 752 1 5
"City of Alhambra" 1210 1395 27 31
"City of Arcadia" 469 812 33 57
"City of Artesia" 354 2108 8 48
"City of Avalon" 6 155 0 0
"City of Azusa" 1476 2950 20 40
"City of Baldwin Park" 2829 3685 83 108
"City of Bell" 1532 4217 41 113
"City of Bell Gardens" 1851 4298 21 49
"City of Bellflower" 2294 2951 60 77
"City of Beverly Hills" 654 1895 12 35
"City of Bradbury" 14 1310 0 0
"City of Burbank" 1428 1332 57 53
"City of Calabasas" 253 1040 12 49
"City of Carson" 1781 1898 58 62
"City of Cerritos" 542 1083 15 30
"City of Claremont" 365 1000 10 27
"City of Commerce*" 553 4231 11 84
"City of Compton" 3901 3905 68 68
"City of Covina" 1335 2723 35 71
"City of Cudahy" 1058 4346 15 62
"City of Culver City" 377 946 29 73
"City of Diamond Bar" 527 916 9 16
"City of Downey" 3916 3427 83 73
"City of Duarte" 531 2412 29 132
"City of El Monte" 4218 3597 154 131
"City of El Segundo" 129 768 1 6
"City of Gardena" 1210 1974 48 78
"City of Glendale" 3440 1666 176 85
"City of Glendora" 1212 2297 67 127
"City of Hawaiian Gardens" 520 3543 2 14
"City of Hawthorne" 1889 2128 42 47
"City of Hermosa Beach" 202 1027 4 20
"City of Hidden Hills" 6 317 0 0
"City of Huntington Park" 2791 4692 54 91
"City of Industry" 36 8238 2 458
"City of Inglewood" 2779 2447 89 78
"City of Irwindale" 69 4729 2 137
"City of La Canada Flintridge" 174 841 7 34
"City of La Habra Heights" 40 733 0 0
"City of La Mirada" 815 1643 27 54
"City of La Puente" 1441 3541 18 44
"City of La Verne" 442 1328 10 30
"City of Lakewood" 1226 1526 13 16
"City of Lancaster*" 3176 1966 47 29
"City of Lawndale" 616 1833 10 30
"City of Lomita" 237 1143 9 43
"City of Lynwood*" 3149 4371 96 133
"City of Malibu" 101 779 3 23
"City of Manhattan Beach" 345 958 5 14
"City of Maywood" 1397 4981 33 118
"City of Monrovia" 727 1874 37 95
"City of Montebello" 2222 3452 48 75
"City of Monterey Park" 935 1502 48 77
"City of Norwalk" 3118 2897 73 68
"City of Palmdale" 3908 2458 69 43
"City of Palos Verdes Estates" 92 680 2 15
"City of Paramount" 2313 4129 28 50
"City of Pico Rivera" 2327 3620 73 114
"City of Pomona" 5255 3370 119 76
"City of Rancho Palos Verdes" 286 669 13 30
"City of Redondo Beach" 536 780 9 13
"City of Rolling Hills" 11 567 0 0
"City of Rolling Hills Estates" 40 493 2 25
"City of Rosemead" 804 1453 25 45
"City of San Dimas*" 499 1446 14 41
"City of San Fernando" 869 3531 18 73
"City of San Gabriel" 617 1507 57 139
"City of San Marino" 86 648 2 15
"City of Santa Clarita" 3232 1466 45 20
"City of Santa Fe Springs" 540 2941 4 22
"City of Santa Monica" 839 908 42 45
"City of Sierra Madre" 71 646 3 27
"City of Signal Hill" 264 2238 2 17
"City of South El Monte" 774 3706 15 72
"City of South Gate" 4258 4338 68 69
"City of South Pasadena" 265 1017 27 104
"City of Temple City" 514 1410 41 112
"City of Torrance" 1366 915 68 46
"City of Vernon" 10 4785 0 0
"City of Walnut" 254 832 4 13
"City of West Covina" 2756 2546 59 55
"City of West Hollywood" 535 1448 5 14
"City of Westlake Village" 32 383 0 0
"City of Whittier" 2156 2466 32 37
"Los Angeles" 104168 2575 2698 67
"Los Angeles - Adams-Normandie" 259 3158 4 49
"Los Angeles - Alsace" 354 2845 3 24
"Los Angeles - Angeles National Forest" 2 5000 0 0
"Los Angeles - Angelino Heights" 74 2958 1 40
"Los Angeles - Arleta" 1393 4053 25 73
"Los Angeles - Atwater Village" 232 1582 7 48
"Los Angeles - Baldwin Hills" 606 1947 26 84
"Los Angeles - Bel Air" 79 937 0 0
"Los Angeles - Beverly Crest" 115 918 2 16
"Los Angeles - Beverlywood" 150 1139 0 0
"Los Angeles - Boyle Heights*" 4142 4767 66 76
"Los Angeles - Brentwood" 280 905 3 10
"Los Angeles - Brookside" 3 516 0 0
"Los Angeles - Cadillac-Corning" 123 1727 1 14
"Los Angeles - Canoga Park" 1800 2757 57 87
"Los Angeles - Carthay" 203 1413 15 104
"Los Angeles - Central" 2103 5393 41 105
"Los Angeles - Century City" 112 876 0 0
"Los Angeles - Century Palms/Cove" 1455 4309 22 65
"Los Angeles - Chatsworth" 641 1730 35 94
"Los Angeles - Cheviot Hills" 68 741 2 22
"Los Angeles - Chinatown" 112 1396 3 37
"Los Angeles - Cloverdale/Cochran" 289 1986 5 34
"Los Angeles - Country Club Park" 316 2085 22 145
"Los Angeles - Crenshaw District" 291 2104 3 22
"Los Angeles - Crestview" 185 1627 20 176
"Los Angeles - Del Rey" 337 1126 10 33
"Los Angeles - Downtown*" 776 2821 15 55
"Los Angeles - Eagle Rock" 632 1596 24 61
"Los Angeles - East Hollywood" 592 2021 43 147
"Los Angeles - Echo Park" 231 1620 4 28
"Los Angeles - El Sereno" 1178 2818 32 77
"Los Angeles - Elysian Park" 95 1663 0 0
"Los Angeles - Elysian Valley" 252 2478 3 29
"Los Angeles - Encino" 560 1240 18 40
"Los Angeles - Exposition" 76 2285 2 60
"Los Angeles - Exposition Park" 1282 2854 22 49
"Los Angeles - Faircrest Heights" 30 833 2 56
"Los Angeles - Figueroa Park Square" 311 3566 4 46
"Los Angeles - Florence-Firestone" 2218 4675 27 57
"Los Angeles - Glassell Park" 672 2126 13 41
"Los Angeles - Gramercy Place" 234 2174 4 37
"Los Angeles - Granada Hills" 1136 1952 64 110
"Los Angeles - Green Meadows" 918 4269 13 60
"Los Angeles - Hancock Park" 217 1274 3 18
"Los Angeles - Harbor City" 473 1627 11 38
"Los Angeles - Harbor Gateway" 955 2190 13 30
"Los Angeles - Harbor Pines" 20 830 0 0
"Los Angeles - Harvard Heights" 543 3011 23 128
"Los Angeles - Harvard Park" 1569 4136 22 58
"Los Angeles - Highland Park" 1056 2182 21 43
"Los Angeles - Historic Filipinotown" 422 3043 15 108
"Los Angeles - Hollywood" 1146 1679 14 21
"Los Angeles - Hollywood Hills" 278 944 7 24
"Los Angeles - Hyde Park" 772 2705 14 49
"Los Angeles - Jefferson Park" 252 3122 0 0
"Los Angeles - Koreatown" 1124 2174 27 52
"Los Angeles - Lafayette Square" 81 1777 3 66
"Los Angeles - Lake Balboa" 977 2315 19 45
"Los Angeles - Lakeview Terrace" 530 4036 23 175
"Los Angeles - Leimert Park" 303 1989 8 53
"Los Angeles - Lincoln Heights" 1040 3190 47 144
"Los Angeles - Little Armenia" 385 4798 51 636
"Los Angeles - Little Bangladesh" 474 1672 5 18
"Los Angeles - Little Tokyo" 78 2490 2 64
"Los Angeles - Longwood" 111 2579 0 0
"Los Angeles - Los Feliz" 198 916 2 9
"Los Angeles - Manchester Square" 190 2226 4 47
"Los Angeles - Mandeville Canyon" 26 832 0 0
"Los Angeles - Mar Vista" 306 720 6 14
"Los Angeles - Marina Peninsula" 33 757 0 0
"Los Angeles - Melrose" 1837 2364 70 90
"Los Angeles - Mid-city" 276 1836 24 160
"Los Angeles - Miracle Mile" 166 923 6 33
"Los Angeles - Mission Hills" 742 3076 33 137
"Los Angeles - Mt. Washington" 530 2195 16 66
"Los Angeles - North Hills" 1754 2849 44 71
"Los Angeles - North Hollywood" 3635 2401 67 44
"Los Angeles - Northridge" 1350 1934 43 62
"Los Angeles - Pacific Palisades" 121 568 4 19
"Los Angeles - Pacoima" 3310 4300 48 62
"Los Angeles - Palisades Highlands" 26 676 0 0
"Los Angeles - Palms" 527 1201 30 68
"Los Angeles - Panorama City" 2774 3686 90 120
