City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Redondo Beach" 538 783 9 13
"City of Rolling Hills" 11 567 0 0
"City of Rolling Hills Estates" 40 493 2 25
"City of Rosemead" 807 1458 27 49
"City of San Dimas*" 501 1452 14 41
"City of San Fernando" 873 3547 18 73
"City of San Gabriel" 620 1514 57 139
"City of San Marino" 86 648 2 15
"City of Santa Clarita" 3267 1482 45 20
"City of Santa Fe Springs" 543 2957 4 22
"City of Santa Monica" 839 908 41 44
"City of Sierra Madre" 72 655 3 27
"City of Signal Hill" 265 2246 3 25
"City of South El Monte" 775 3711 15 72
"City of South Gate" 4275 4355 67 68
"City of South Pasadena" 265 1017 27 104
"City of Temple City" 515 1413 41 112
"City of Torrance" 1371 918 67 45
"City of Vernon" 11 5263 0 0
"City of Walnut" 255 835 4 13
"City of West Covina" 2766 2556 59 55
"City of West Hollywood" 540 1461 5 14
"City of Westlake Village" 32 383 0 0
"City of Whittier" 2174 2487 32 37
"Los Angeles" 104567 2585 2707 67
"Los Angeles - Adams-Normandie" 261 3182 4 49
"Los Angeles - Alsace" 357 2869 3 24
"Los Angeles - Angeles National Forest" 2 5000 0 0
"Los Angeles - Angelino Heights" 74 2958 1 40
"Los Angeles - Arleta" 1395 4059 25 73
"Los Angeles - Atwater Village" 233 1589 7 48
"Los Angeles - Baldwin Hills" 606 1947 26 84
"Los Angeles - Bel Air" 79 937 0 0
"Los Angeles - Beverly Crest" 116 926 2 16
"Los Angeles - Beverlywood" 150 1139 0 0
"Los Angeles - Boyle Heights*" 4157 4785 67 77
"Los Angeles - Brentwood" 283 914 3 10
"Los Angeles - Brookside" 3 516 0 0
"Los Angeles - Cadillac-Corning" 124 1741 1 14
"Los Angeles - Canoga Park" 1804 2763 56 86
"Los Angeles - Carthay" 203 1413 15 104
"Los Angeles - Central" 2112 5416 41 105
"Los Angeles - Century City" 112 876 0 0
"Los Angeles - Century Palms/Cove" 1459 4321 22 65
"Los Angeles - Chatsworth" 645 1740 35 94
"Los Angeles - Cheviot Hills" 68 741 2 22
"Los Angeles - Chinatown" 112 1396 3 37
"Los Angeles - Cloverdale/Cochran" 290 1993 5 34
"Los Angeles - Country Club Park" 317 2092 23 152
"Los Angeles - Crenshaw District" 291 2104 3 22
"Los Angeles - Crestview" 185 1627 20 176
"Los Angeles - Del Rey" 343 1146 10 33
"Los Angeles - Downtown*" 779 2832 15 55
"Los Angeles - Eagle Rock" 636 1607 23 58
"Los Angeles - East Hollywood" 593 2025 43 147
"Los Angeles - Echo Park" 232 1627 4 28
"Los Angeles - El Sereno" 1180 2822 32 77
"Los Angeles - Elysian Park" 95 1663 0 0
"Los Angeles - Elysian Valley" 254 2497 3 29
"Los Angeles - Encino" 564 1249 18 40
"Los Angeles - Exposition" 76 2285 2 60
"Los Angeles - Exposition Park" 1285 2861 22 49
"Los Angeles - Faircrest Heights" 30 833 2 56
"Los Angeles - Figueroa Park Square" 311 3566 4 46
"Los Angeles - Florence-Firestone" 2231 4702 27 57
"Los Angeles - Glassell Park" 674 2133 13 41
"Los Angeles - Gramercy Place" 235 2183 4 37
"Los Angeles - Granada Hills" 1144 1966 64 110
"Los Angeles - Green Meadows" 922 4287 13 60
"Los Angeles - Hancock Park" 220 1291 3 18
"Los Angeles - Harbor City" 476 1637 11 38
"Los Angeles - Harbor Gateway" 955 2190 13 30
"Los Angeles - Harbor Pines" 20 830 0 0
"Los Angeles - Harvard Heights" 545 3022 24 133
"Los Angeles - Harvard Park" 1575 4152 22 58
"Los Angeles - Highland Park" 1060 2190 20 41
"Los Angeles - Historic Filipinotown" 423 3050 15 108
"Los Angeles - Hollywood" 1151 1686 14 21
"Los Angeles - Hollywood Hills" 281 955 7 24
"Los Angeles - Hyde Park" 775 2715 13 46
"Los Angeles - Jefferson Park" 252 3122 0 0
"Los Angeles - Koreatown" 1125 2176 28 54
"Los Angeles - Lafayette Square" 81 1777 3 66
"Los Angeles - Lake Balboa" 981 2324 19 45
"Los Angeles - Lakeview Terrace" 531 4043 23 175
"Los Angeles - Leimert Park" 306 2009 8 53
"Los Angeles - Lincoln Heights" 1043 3200 48 147
"Los Angeles - Little Armenia" 386 4810 51 636
"Los Angeles - Little Bangladesh" 474 1672 5 18
"Los Angeles - Little Tokyo" 78 2490 2 64
"Los Angeles - Longwood" 111 2579 0 0
"Los Angeles - Los Feliz" 200 926 2 9
"Los Angeles - Manchester Square" 190 2226 4 47
"Los Angeles - Mandeville Canyon" 26 832 0 0
"Los Angeles - Mar Vista" 306 720 6 14
"Los Angeles - Marina Peninsula" 34 780 0 0
"Los Angeles - Melrose" 1844 2373 70 90
"Los Angeles - Mid-city" 276 1836 24 160
"Los Angeles - Miracle Mile" 166 923 6 33
"Los Angeles - Mission Hills" 746 3092 36 149
"Los Angeles - Mt. Washington" 534 2212 16 66
"Los Angeles - North Hills" 1759 2857 44 71
"Los Angeles - North Hollywood" 3655 2414 67 44
"Los Angeles - Northridge" 1355 1941 43 62
"Los Angeles - Pacific Palisades" 122 573 4 19
"Los Angeles - Pacoima" 3329 4325 48 62
"Los Angeles - Palisades Highlands" 26 676 0 0
"Los Angeles - Palms" 529 1206 30 68
"Los Angeles - Panorama City" 2792 3710 90 120
"Los Angeles - Park La Brea" 102 751 1 7
"Los Angeles - Pico-Union" 1737 4151 94 225
"Los Angeles - Playa Del Rey" 27 845 0 0
"Los Angeles - Playa Vista" 136 1242 0 0
"Los Angeles - Porter Ranch" 352 989 6 17
"Los Angeles - Rancho Park" 87 1326 1 15
"Los Angeles - Regent Square" 30 1079 0 0
"Los Angeles - Reseda" 2079 2713 79 103
"Los Angeles - Reseda Ranch" 111 2394 0 0
"Los Angeles - Reynier Village" 39 922 0 0
"Los Angeles - San Pedro*" 1915 2454 27 35
"Los Angeles - Shadow Hills" 60 1351 0 0
"Los Angeles - Sherman Oaks" 1006 1153 27 31
"Los Angeles - Silverlake" 608 1379 19 43
"Los Angeles - South Carthay" 109 1029 2 19
"Los Angeles - South Park" 2002 5274 28 74
"Los Angeles - St Elmo Village" 139 3032 8 175
"Los Angeles - Studio City" 237 1056 11 49
"Los Angeles - Sun Valley" 1556 2965 29 55
"Los Angeles - Sunland" 431 2112 29 142
"Los Angeles - Sycamore Square" 5 773 0 0
"Los Angeles - Sylmar*" 3155 3829 82 100
"Los Angeles - Tarzana" 610 1976 37 120
"Los Angeles - Temple-Beaudry" 1208 3060 27 68
"Los Angeles - Thai Town" 157 1601 1 10
"Los Angeles - Toluca Lake" 99 1137 0 0
"Los Angeles - Toluca Terrace" 23 1761 1 77
"Los Angeles - Toluca Woods" 18 969 0 0
"Los Angeles - Tujunga" 484 1740 14 50
"Los Angeles - University Hills" 52 1516 1 29
"Los Angeles - University Park" 1056 3846 19 69
"Los Angeles - Valley Glen" 607 2022 22 73
"Los Angeles - Valley Village" 495 2002 25 101
"Los Angeles - Van Nuys" 2846 3054 86 92
"Los Angeles - Venice" 283 835 3 9
"Los Angeles - Vermont Knolls" 706 4105 14 81
"Los Angeles - Vermont Square" 333 4349 3 39
"Los Angeles - Vermont Vista" 1877 4557 25 61
"Los Angeles - Vernon Central" 2911 5598 41 79
"Los Angeles - Victoria Park" 207 2465 4 48
"Los Angeles - View Heights" 44 1191 3 81
"Los Angeles - Watts" 1887 4422 28 66
"Los Angeles - Wellington Square" 120 2442 0 0
"Los Angeles - West Adams" 864 3127 38 138
"Los Angeles - West Hills" 516 1273 30 74
"Los Angeles - West Los Angeles" 485 1289 15 40
"Los Angeles - West Vernon" 2286 4261 49 91
"Los Angeles - Westchester" 408 791 15 29
"Los Angeles - Westlake" 2334 3932 142 239
"Los Angeles - Westwood" 356 658 6 11
"Los Angeles - Wholesale District*" 2327 6441 26 72
"Los Angeles - Wilmington" 1721 3047 18 32
"Los Angeles - Wilshire Center" 1080 2153 36 72
"Los Angeles - Winnetka" 1192 2302 18 35
"Los Angeles - Woodland Hills" 846 1243 31 46
"Unincorporated - Acton" 66 828 2 25
"Unincorporated - Agua Dulce" 26 625 0 0
"Unincorporated - Altadena" 673 1543 13 30
"Unincorporated - Anaverde" 14 928 0 0
"Unincorporated - Angeles National Forest" 5 402 0 0
"Unincorporated - Arcadia" 85 1065 3 38
"Unincorporated - Athens-Westmont" 1493 3518 27 64
"Unincorporated - Athens Village" 226 4615 10 204
"Unincorporated - Avocado Heights" 286 4221 3 44
"Unincorporated - Azusa" 480 3015 3 19
"Unincorporated - Bassett" 614 4144 9 61
"Unincorporated - Bouquet Canyon" 6 559 1 93
"Unincorporated - Bradbury" 4 3704 1 926
"Unincorporated - Canyon Country" 124 1605 0 0
"Unincorporated - Castaic*" 1932 7105 4 15
"Unincorporated - Cerritos" 17 2896 0 0
"Unincorporated - Charter Oak" 0 0 0 0
"Unincorporated - Claremont" 22 3134 3 427
"Unincorporated - Covina" 413 2456 7 42
"Unincorporated - Covina (Charter Oak)" 299 2275 2 15
"Unincorporated - Del Aire" 73 1662 2 46
"Unincorporated - Del Rey" 3 943 0 0
"Unincorporated - Del Sur" 13 538 1 41
"Unincorporated - Desert View Highlands" 44 1765 1 40
"Unincorporated - Duarte" 144 3252 4 90
"Unincorporated - East Covina" 4 1216 0 0
"Unincorporated - East La Mirada" 99 1871 0 0
"Unincorporated - East Lancaster" 0 0 0 0
"Unincorporated - East Los Angeles" 6072 4847 101 81
"Unincorporated - East Pasadena" 78 1218 1 16
"Unincorporated - East Rancho Dominguez" 666 4351 14 91
"Unincorporated - East Whittier" 82 1545 0 0
"Unincorporated - El Camino Village" 144 1638 3 34
"Unincorporated - El Monte" 6 4138 0 0
"Unincorporated - Elizabeth Lake" 7 421 0 0
"Unincorporated - Florence-Firestone" 3317 5126 49 76
"Unincorporated - Franklin Canyon" 0 0 0 0
"Unincorporated - Glendora" 12 1818 0 0
"Unincorporated - Hacienda Heights" 987 1765 16 29
"Unincorporated - Harbor Gateway" 0 0 0 0
"Unincorporated - Hawthorne" 60 2387 0 0
"Unincorporated - Hi Vista" 7 638 0 0
"Unincorporated - Kagel/Lopez Canyons" 36 2550 1 71
"Unincorporated - La Crescenta-Montrose" 191 965 2 10
"Unincorporated - La Habra Heights" 0 0 0 0
"Unincorporated - La Rambla" 77 3711 12 578
"Unincorporated - La Verne*" 33 1618 0 0
"Unincorporated - Ladera Heights" 94 1329 3 42
"Unincorporated - Lake Hughes" 3 449 0 0
"Unincorporated - Lake Los Angeles" 217 1670 4 31
"Unincorporated - Lake Manor" 24 1461 0 0
"Unincorporated - Lakewood" 0 0 0 0
"Unincorporated - Lennox" 687 3048 6 27
"Unincorporated - Leona Valley" 18 1028 0 0
"Unincorporated - Littlerock" 83 2064 0 0
"Unincorporated - Littlerock/Juniper Hills" 8 617 0 0
"Unincorporated - Littlerock/Pearblossom" 83 2326 0 0
"Unincorporated - Llano" 3 342 0 0
"Unincorporated - Marina del Rey" 68 723 1 11
"Unincorporated - Miracle Mile" 0 0 0 0
"Unincorporated - Monrovia" 80 2061 0 0
"Unincorporated - Newhall" 6 2727 0 0
"Unincorporated - North Lancaster" 18 1503 0 0
"Unincorporated - North Whittier" 204 2440 10 120
"Unincorporated - Northeast San Gabriel" 327 1360 8 33
"Unincorporated - Padua Hills" 3 1395 0 0
"Unincorporated - Palmdale" 21 2494 0 0
"Unincorporated - Palos Verdes Peninsula" 3 483 0 0
"Unincorporated - Pearblossom/Llano" 24 1227 1 51
"Unincorporated - Pellissier Village" 26 4200 0 0
"Unincorporated - Placerita Canyon" 0 0 0 0
"Unincorporated - Pomona" 16 826 1 52
"Unincorporated - Quartz Hill" 166 1286 11 85
"Unincorporated - Rancho Dominguez" 72 2706 2 75
"Unincorporated - Roosevelt" 8 859 0 0
"Unincorporated - Rosewood" 28 2177 0 0
"Unincorporated - Rosewood/East Gardena" 22 1844 1 84
"Unincorporated - Rosewood/West Rancho Dominguez" 105 3124 0 0
"Unincorporated - Rowland Heights" 646 1266 14 27
"Unincorporated - San Clemente Island" 0 0 0 0
"Unincorporated - San Francisquito Canyon/Bouquet Canyon" 0 0 0 0
"Unincorporated - San Jose Hills" 678 3353 10 49
"Unincorporated - San Pasqual" 10 491 0 0
"Unincorporated - Sand Canyon" 6 1948 0 0
"Unincorporated - Santa Catalina Island" 25 9363 0 0
"Unincorporated - Santa Monica Mountains*" 111 596 1 5
"Unincorporated - Saugus" 27 17419 0 0
"Unincorporated - Saugus/Canyon Country" 1 281 0 0
"Unincorporated - South Antelope Valley" 3 659 0 0
"Unincorporated - South El Monte" 80 4457 0 0
"Unincorporated - South San Gabriel" 174 1967 5 57
"Unincorporated - South Whittier" 1704 2877 31 52
"Unincorporated - Southeast Antelope Valley" 13 1665 0 0
"Unincorporated - Stevenson Ranch" 157 749 2 10
"Unincorporated - Sun Village" 160 2651 2 33
"Unincorporated - Sunrise Village" 53 4090 0 0
"Unincorporated - Twin Lakes/Oat Mountain" 12 724 1 60
"Unincorporated - Val Verde" 67 2025 1 30
"Unincorporated - Valencia" 42 1367 1 33
"Unincorporated - Valinda" 734 3141 7 30
"Unincorporated - View Park/Windsor Hills" 140 1203 3 26
"Unincorporated - Walnut Park" 691 4280 12 74
"Unincorporated - West Antelope Valley" 5 331 0 0
"Unincorporated - West Carson" 415 1879 35 158
"Unincorporated - West Chatsworth" 0 0 0 0
"Unincorporated - West LA" 43 4517 2 210
"Unincorporated - West Puente Valley" 373 3793 3 31
"Unincorporated - West Rancho Dominguez" 21 1545 3 221
"Unincorporated - West Whittier/Los Nietos" 946 3513 15 56
"Unincorporated - Westfield/Academy Hills" 7 538 0 0
"Unincorporated - Westhills" 9 1073 0 0
"Unincorporated - White Fence Farms" 43 1168 0 0
"Unincorporated - Whittier" 65 1718 1 26
"Unincorporated - Whittier Narrows" 2 16667 0 0
"Unincorporated - Willowbrook" 1424 4079 20 57
"Unincorporated - Wiseburn" 120 1991 1 17
"-  Under Investigation" 4874 0 34 0
