City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Agoura Hills" 157 752 1 5
"City of Alhambra" 1215 1401 27 31
"City of Arcadia" 470 814 33 57
"City of Artesia" 354 2108 8 48
"City of Avalon" 6 155 0 0
"City of Azusa" 1485 2968 21 42
"City of Baldwin Park" 2845 3706 83 108
"City of Bell" 1539 4236 41 113
"City of Bell Gardens" 1860 4318 21 49
"City of Bellflower" 2304 2964 60 77
"City of Beverly Hills" 655 1897 12 35
"City of Bradbury" 14 1310 0 0
"City of Burbank" 1441 1344 57 53
"City of Calabasas" 257 1057 12 49
"City of Carson" 1785 1902 59 63
"City of Cerritos" 545 1089 15 30
"City of Claremont" 367 1006 10 27
"City of Commerce*" 558 4270 11 84
"City of Compton" 3919 3923 69 69
"City of Covina" 1340 2733 37 75
"City of Cudahy" 1060 4354 15 62
"City of Culver City" 377 946 29 73
"City of Diamond Bar" 527 916 9 16
"City of Downey" 3937 3446 84 74
"City of Duarte" 534 2426 29 132
"City of El Monte" 4226 3604 154 131
"City of El Segundo" 129 768 1 6
"City of Gardena" 1215 1982 48 78
"City of Glendale" 3465 1678 174 84
"City of Glendora" 1216 2305 67 127
"City of Hawaiian Gardens" 523 3564 2 14
"City of Hawthorne" 1896 2135 42 47
"City of Hermosa Beach" 203 1032 4 20
"City of Hidden Hills" 6 317 0 0
"City of Huntington Park" 2807 4719 54 91
"City of Industry" 36 8238 2 458
"City of Inglewood" 2791 2457 87 77
"City of Irwindale" 69 4729 2 137
"City of La Canada Flintridge" 175 846 7 34
"City of La Habra Heights" 40 733 0 0
"City of La Mirada" 822 1657 27 54
"City of La Puente" 1444 3548 18 44
"City of La Verne" 445 1337 10 30
"City of Lakewood" 1233 1534 14 17
"City of Lancaster*" 3215 1990 48 30
"City of Lawndale" 617 1836 10 30
"City of Lomita" 237 1143 9 43
"City of Lynwood*" 3168 4397 97 135
"City of Malibu" 101 779 3 23
"City of Manhattan Beach" 348 967 5 14
"City of Maywood" 1398 4984 33 118
"City of Monrovia" 730 1881 37 95
"City of Montebello" 2240 3480 48 75
"City of Monterey Park" 939 1508 48 77
"City of Norwalk" 3137 2915 75 70
"City of Palmdale" 3934 2475 69 43
"City of Palos Verdes Estates" 93 688 2 15
"City of Paramount" 2325 4150 28 50
"City of Pico Rivera" 2343 3645 73 114
"City of Pomona" 5270 3380 120 77
"City of Rancho Palos Verdes" 288 674 13 30
