City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Agoura Hills" 155 742 1 5
"City of Alhambra" 1195 1378 27 31
"City of Arcadia" 461 798 32 55
"City of Artesia" 336 2001 7 42
"City of Avalon" 5 129 0 0
"City of Azusa" 1463 2924 19 38
"City of Baldwin Park" 2790 3634 80 104
"City of Bell" 1506 4145 40 110
"City of Bell Gardens" 1833 4256 21 49
"City of Bellflower" 2277 2929 58 75
"City of Beverly Hills" 643 1863 12 35
"City of Bradbury" 14 1310 0 0
"City of Burbank" 1400 1306 57 53
"City of Calabasas" 249 1024 12 49
"City of Carson" 1765 1881 56 60
"City of Cerritos" 540 1079 14 28
"City of Claremont" 361 989 10 27
"City of Commerce*" 550 4208 11 84
"City of Compton" 3865 3869 67 67
"City of Covina" 1325 2702 32 65
"City of Cudahy" 1056 4337 15 62
"City of Culver City" 374 938 29 73
"City of Diamond Bar" 518 901 9 16
"City of Downey" 3876 3392 83 73
"City of Duarte" 527 2394 28 127
"City of El Monte" 4188 3571 151 129
"City of El Segundo" 127 757 1 6
"City of Gardena" 1201 1959 47 77
"City of Glendale" 3359 1627 172 83
"City of Glendora" 1206 2286 66 125
"City of Hawaiian Gardens" 514 3502 2 14
"City of Hawthorne" 1874 2111 42 47
"City of Hermosa Beach" 201 1022 4 20
"City of Hidden Hills" 6 317 0 0
"City of Huntington Park" 2759 4638 51 86
"City of Industry" 36 8238 2 458
"City of Inglewood" 2752 2423 86 76
"City of Irwindale" 68 4661 2 137
"City of La Canada Flintridge" 173 836 7 34
"City of La Habra Heights" 40 733 0 0
"City of La Mirada" 807 1627 26 52
"City of La Puente" 1437 3531 17 42
"City of La Verne" 439 1319 10 30
"City of Lakewood" 1209 1504 13 16
"City of Lancaster*" 3106 1922 45 28
"City of Lawndale" 606 1803 10 30
"City of Lomita" 236 1139 9 43
"City of Lynwood*" 3123 4335 95 132
"City of Malibu" 101 779 3 23
"City of Manhattan Beach" 336 933 5 14
"City of Maywood" 1376 4906 33 118
"City of Monrovia" 716 1845 37 95
"City of Montebello" 2196 3411 47 73
"City of Monterey Park" 927 1489 45 72
"City of Norwalk" 3099 2880 71 66
"City of Palmdale" 3845 2419 65 41
"City of Palos Verdes Estates" 92 680 2 15
"City of Paramount" 2293 4093 28 50
"City of Pico Rivera" 2305 3586 71 110
"City of Pomona" 5222 3349 116 74
"City of Rancho Palos Verdes" 282 660 13 30
"City of Redondo Beach" 531 773 9 13
"City of Rolling Hills" 11 567 0 0
"City of Rolling Hills Estates" 40 493 2 25
"City of Rosemead" 796 1438 25 45
"City of San Dimas*" 495 1434 14 41
"City of San Fernando" 864 3510 18 73
"City of San Gabriel" 605 1477 56 137
"City of San Marino" 85 640 2 15
"City of Santa Clarita" 3159 1433 45 20
"City of Santa Fe Springs" 533 2902 4 22
"City of Santa Monica" 831 899 41 44
"City of Sierra Madre" 69 628 3 27
"City of Signal Hill" 262 2221 2 17
"City of South El Monte" 766 3668 15 72
"City of South Gate" 4227 4306 67 68
"City of South Pasadena" 264 1013 27 104
"City of Temple City" 511 1402 40 110
"City of Torrance" 1359 910 67 45
"City of Vernon" 10 4785 0 0
"City of Walnut" 252 825 4 13
"City of West Covina" 2734 2526 59 55
"City of West Hollywood" 521 1410 5 14
"City of Westlake Village" 31 371 0 0
"City of Whittier" 2136 2443 31 35
"Los Angeles" 102835 2543 2658 66
"Los Angeles - Adams-Normandie" 257 3133 4 49
"Los Angeles - Alsace" 351 2820 3 24
"Los Angeles - Angeles National Forest" 2 5000 0 0
"Los Angeles - Angelino Heights" 70 2798 1 40
"Los Angeles - Arleta" 1383 4024 25 73
"Los Angeles - Atwater Village" 228 1555 6 41
"Los Angeles - Baldwin Hills" 603 1937 26 84
"Los Angeles - Bel Air" 79 937 0 0
"Los Angeles - Beverly Crest" 109 870 2 16
"Los Angeles - Beverlywood" 147 1116 0 0
"Los Angeles - Boyle Heights*" 4118 4740 62 71
"Los Angeles - Brentwood" 276 892 3 10
"Los Angeles - Brookside" 3 516 0 0
"Los Angeles - Cadillac-Corning" 122 1713 1 14
"Los Angeles - Canoga Park" 1775 2719 57 87
"Los Angeles - Carthay" 202 1406 15 104
"Los Angeles - Central" 2086 5350 41 105
"Los Angeles - Century City" 111 868 0 0
"Los Angeles - Century Palms/Cove" 1448 4288 21 62
"Los Angeles - Chatsworth" 627 1692 35 94
"Los Angeles - Cheviot Hills" 67 731 2 22
"Los Angeles - Chinatown" 110 1371 3 37
"Los Angeles - Cloverdale/Cochran" 286 1965 5 34
"Los Angeles - Country Club Park" 304 2006 22 145
"Los Angeles - Crenshaw District" 290 2097 3 22
"Los Angeles - Crestview" 184 1619 20 176
