City/Community Cases "Case Rate" Deaths "Death Rate"
"Los Angeles - Del Rey" 335 1119 10 33
"Los Angeles - Downtown*" 762 2770 15 55
"Los Angeles - Eagle Rock" 631 1594 23 58
"Los Angeles - East Hollywood" 589 2011 43 147
"Los Angeles - Echo Park" 225 1578 4 28
"Los Angeles - El Sereno" 1169 2796 31 74
"Los Angeles - Elysian Park" 93 1628 0 0
"Los Angeles - Elysian Valley" 252 2478 3 29
"Los Angeles - Encino" 545 1206 18 40
"Los Angeles - Exposition" 75 2255 2 60
"Los Angeles - Exposition Park" 1263 2812 21 47
"Los Angeles - Faircrest Heights" 30 833 2 56
"Los Angeles - Figueroa Park Square" 311 3566 4 46
"Los Angeles - Florence-Firestone" 2193 4622 27 57
"Los Angeles - Glassell Park" 657 2079 13 41
"Los Angeles - Gramercy Place" 230 2137 4 37
"Los Angeles - Granada Hills" 1122 1928 63 108
"Los Angeles - Green Meadows" 904 4204 11 51
"Los Angeles - Hancock Park" 213 1250 3 18
"Los Angeles - Harbor City" 469 1613 10 34
"Los Angeles - Harbor Gateway" 945 2167 13 30
"Los Angeles - Harbor Pines" 19 789 0 0
"Los Angeles - Harvard Heights" 544 3016 23 128
"Los Angeles - Harvard Park" 1553 4094 22 58
"Los Angeles - Highland Park" 1043 2155 21 43
"Los Angeles - Historic Filipinotown" 414 2985 15 108
"Los Angeles - Hollywood" 1130 1656 14 21
"Los Angeles - Hollywood Hills" 274 931 7 24
"Los Angeles - Hyde Park" 764 2677 14 49
"Los Angeles - Jefferson Park" 252 3122 0 0
"Los Angeles - Koreatown" 1112 2151 27 52
"Los Angeles - Lafayette Square" 80 1755 3 66
"Los Angeles - Lake Balboa" 961 2277 19 45
"Los Angeles - Lakeview Terrace" 522 3975 23 175
"Los Angeles - Leimert Park" 297 1949 8 53
"Los Angeles - Lincoln Heights" 1024 3141 47 144
"Los Angeles - Little Armenia" 385 4798 51 636
"Los Angeles - Little Bangladesh" 468 1651 5 18
"Los Angeles - Little Tokyo" 79 2522 2 64
"Los Angeles - Longwood" 112 2602 0 0
"Los Angeles - Los Feliz" 196 907 2 9
"Los Angeles - Manchester Square" 191 2238 4 47
"Los Angeles - Mandeville Canyon" 24 768 0 0
"Los Angeles - Mar Vista" 304 716 6 14
"Los Angeles - Marina Peninsula" 31 711 0 0
"Los Angeles - Melrose" 1820 2342 70 90
"Los Angeles - Mid-city" 272 1810 24 160
"Los Angeles - Miracle Mile" 165 917 6 33
"Los Angeles - Mission Hills" 728 3018 31 129
"Los Angeles - Mt. Washington" 525 2174 16 66
"Los Angeles - North Hills" 1721 2795 44 71
"Los Angeles - North Hollywood" 3562 2352 64 42
"Los Angeles - Northridge" 1327 1901 42 60
"Los Angeles - Pacific Palisades" 119 559 4 19
"Los Angeles - Pacoima" 3243 4213 48 62
"Los Angeles - Palisades Highlands" 26 676 0 0
"Los Angeles - Palms" 517 1178 29 66
"Los Angeles - Panorama City" 2740 3641 89 118
"Los Angeles - Park La Brea" 99 729 1 7
"Los Angeles - Pico-Union" 1721 4113 92 220
"Los Angeles - Playa Del Rey" 27 845 0 0
"Los Angeles - Playa Vista" 132 1206 0 0
"Los Angeles - Porter Ranch" 345 969 6 17
"Los Angeles - Rancho Park" 87 1326 1 15
"Los Angeles - Regent Square" 29 1043 0 0
"Los Angeles - Reseda" 2050 2676 78 102
"Los Angeles - Reseda Ranch" 110 2373 0 0
"Los Angeles - Reynier Village" 39 922 0 0
"Los Angeles - San Pedro*" 1886 2417 27 35
"Los Angeles - Shadow Hills" 58 1306 0 0
"Los Angeles - Sherman Oaks" 992 1137 25 29
"Los Angeles - Silverlake" 596 1352 18 41
"Los Angeles - South Carthay" 108 1019 2 19
"Los Angeles - South Park" 1970 5190 28 74
"Los Angeles - St Elmo Village" 135 2945 8 175
"Los Angeles - Studio City" 232 1034 11 49
"Los Angeles - Sun Valley" 1514 2885 29 55
"Los Angeles - Sunland" 424 2078 29 142
"Los Angeles - Sycamore Square" 5 773 0 0
"Los Angeles - Sylmar*" 3094 3755 81 98
"Los Angeles - Tarzana" 594 1924 37 120
"Los Angeles - Temple-Beaudry" 1196 3029 26 66
"Los Angeles - Thai Town" 157 1601 0 0
"Los Angeles - Toluca Lake" 97 1114 0 0
"Los Angeles - Toluca Terrace" 22 1685 1 77
"Los Angeles - Toluca Woods" 18 969 0 0
"Los Angeles - Tujunga" 466 1676 14 50
"Los Angeles - University Hills" 51 1487 1 29
"Los Angeles - University Park" 1024 3730 19 69
"Los Angeles - Valley Glen" 588 1959 22 73
"Los Angeles - Valley Village" 482 1950 25 101
"Los Angeles - Van Nuys" 2793 2997 82 88
"Los Angeles - Venice" 274 809 3 9
"Los Angeles - Vermont Knolls" 700 4070 13 76
"Los Angeles - Vermont Square" 325 4244 3 39
"Los Angeles - Vermont Vista" 1843 4475 24 58
"Los Angeles - Vernon Central" 2872 5523 41 79
"Los Angeles - Victoria Park" 205 2441 4 48
"Los Angeles - View Heights" 43 1164 2 54
"Los Angeles - Watts" 1867 4375 27 63
"Los Angeles - Wellington Square" 119 2421 0 0
"Los Angeles - West Adams" 859 3109 38 138
"Los Angeles - West Hills" 508 1253 30 74
"Los Angeles - West Los Angeles" 483 1283 16 43
"Los Angeles - West Vernon" 2238 4172 47 88
"Los Angeles - Westchester" 401 777 15 29
"Los Angeles - Westlake" 2310 3892 142 239
"Los Angeles - Westwood" 341 630 6 11
"Los Angeles - Wholesale District*" 2302 6372 26 72
"Los Angeles - Wilmington" 1694 2999 17 30
"Los Angeles - Wilshire Center" 1063 2119 34 68
"Los Angeles - Winnetka" 1169 2257 17 33
"Los Angeles - Woodland Hills" 835 1227 29 43
"Unincorporated - Acton" 65 815 2 25
"Unincorporated - Agua Dulce" 25 601 0 0
"Unincorporated - Altadena" 665 1525 13 30
"Unincorporated - Anaverde" 13 862 0 0
"Unincorporated - Angeles National Forest" 5 402 0 0
"Unincorporated - Arcadia" 85 1065 3 38
"Unincorporated - Athens-Westmont" 1478 3482 27 64
"Unincorporated - Athens Village" 219 4472 10 204
"Unincorporated - Avocado Heights" 279 4118 3 44
"Unincorporated - Azusa" 469 2945 3 19
"Unincorporated - Bassett" 606 4090 9 61
"Unincorporated - Bouquet Canyon" 6 559 1 93
"Unincorporated - Bradbury" 4 3704 1 926
"Unincorporated - Canyon Country" 120 1553 0 0
"Unincorporated - Castaic*" 1920 7061 4 15
"Unincorporated - Cerritos" 16 2726 0 0
"Unincorporated - Charter Oak" 0 0 0 0
"Unincorporated - Claremont" 22 3134 3 427
"Unincorporated - Covina" 408 2426 6 36
"Unincorporated - Covina (Charter Oak)" 290 2206 2 15
"Unincorporated - Del Aire" 72 1639 2 46
"Unincorporated - Del Rey" 3 943 0 0
"Unincorporated - Del Sur" 11 455 1 41
"Unincorporated - Desert View Highlands" 44 1765 1 40
"Unincorporated - Duarte" 139 3139 4 90
"Unincorporated - East Covina" 4 1216 0 0
"Unincorporated - East La Mirada" 98 1852 0 0
"Unincorporated - East Lancaster" 0 0 0 0
"Unincorporated - East Los Angeles" 5991 4783 101 81
"Unincorporated - East Pasadena" 77 1203 1 16
"Unincorporated - East Rancho Dominguez" 653 4266 14 91
"Unincorporated - East Whittier" 79 1489 0 0
"Unincorporated - El Camino Village" 144 1638 3 34
"Unincorporated - El Monte" 6 4138 0 0
"Unincorporated - Elizabeth Lake" 7 421 0 0
"Unincorporated - Florence-Firestone" 3282 5072 45 70
"Unincorporated - Franklin Canyon" 0 0 0 0
"Unincorporated - Glendora" 12 1818 0 0
"Unincorporated - Hacienda Heights" 974 1742 16 29
"Unincorporated - Harbor Gateway" 0 0 0 0
"Unincorporated - Hawthorne" 59 2347 0 0
"Unincorporated - Hi Vista" 7 638 0 0
"Unincorporated - Kagel/Lopez Canyons" 34 2408 1 71
"Unincorporated - La Crescenta-Montrose" 180 909 2 10
"Unincorporated - La Habra Heights" 0 0 0 0
"Unincorporated - La Rambla" 77 3711 12 578
"Unincorporated - La Verne*" 33 1618 0 0
"Unincorporated - Ladera Heights" 94 1329 3 42
"Unincorporated - Lake Hughes" 2 299 0 0
"Unincorporated - Lake Los Angeles" 209 1608 4 31
"Unincorporated - Lake Manor" 24 1461 0 0
"Unincorporated - Lakewood" 0 0 0 0
"Unincorporated - Lennox" 676 2999 6 27
"Unincorporated - Leona Valley" 17 971 0 0
"Unincorporated - Littlerock" 83 2064 0 0
"Unincorporated - Littlerock/Juniper Hills" 8 617 0 0
"Unincorporated - Littlerock/Pearblossom" 82 2298 0 0
"Unincorporated - Llano" 3 342 0 0
"Unincorporated - Marina del Rey" 68 723 1 11
"Unincorporated - Miracle Mile" 0 0 0 0
"Unincorporated - Monrovia" 78 2010 0 0
"Unincorporated - Newhall" 6 2727 0 0
"Unincorporated - North Lancaster" 18 1503 0 0
"Unincorporated - North Whittier" 202 2416 10 120
"Unincorporated - Northeast San Gabriel" 323 1344 8 33
"Unincorporated - Padua Hills" 3 1395 0 0
"Unincorporated - Palmdale" 21 2494 0 0
"Unincorporated - Palos Verdes Peninsula" 3 483 0 0
"Unincorporated - Pearblossom/Llano" 21 1074 1 51
"Unincorporated - Pellissier Village" 26 4200 0 0
"Unincorporated - Placerita Canyon" 0 0 0 0
"Unincorporated - Pomona" 15 774 1 52
"Unincorporated - Quartz Hill" 156 1209 11 85
"Unincorporated - Rancho Dominguez" 71 2668 2 75
"Unincorporated - Roosevelt" 8 859 0 0
"Unincorporated - Rosewood" 28 2177 0 0
"Unincorporated - Rosewood/East Gardena" 18 1509 1 84
"Unincorporated - Rosewood/West Rancho Dominguez" 102 3035 0 0
"Unincorporated - Rowland Heights" 635 1245 12 24
"Unincorporated - San Clemente Island" 0 0 0 0
"Unincorporated - San Francisquito Canyon/Bouquet Canyon" 0 0 0 0
"Unincorporated - San Jose Hills" 670 3313 10 49
"Unincorporated - San Pasqual" 10 491 0 0
"Unincorporated - Sand Canyon" 6 1948 0 0
"Unincorporated - Santa Catalina Island" 26 9738 0 0
"Unincorporated - Santa Monica Mountains*" 110 591 1 5
"Unincorporated - Saugus" 27 17419 0 0
"Unincorporated - Saugus/Canyon Country" 1 281 0 0
"Unincorporated - South Antelope Valley" 2 440 0 0
"Unincorporated - South El Monte" 79 4401 0 0
"Unincorporated - South San Gabriel" 173 1955 5 57
"Unincorporated - South Whittier" 1674 2827 31 52
"Unincorporated - Southeast Antelope Valley" 13 1665 0 0
"Unincorporated - Stevenson Ranch" 156 744 2 10
"Unincorporated - Sun Village" 157 2601 2 33
"Unincorporated - Sunrise Village" 53 4090 0 0
"Unincorporated - Twin Lakes/Oat Mountain" 11 663 1 60
"Unincorporated - Val Verde" 67 2025 1 30
"Unincorporated - Valencia" 42 1367 1 33
"Unincorporated - Valinda" 725 3102 7 30
"Unincorporated - View Park/Windsor Hills" 140 1203 3 26
"Unincorporated - Walnut Park" 682 4225 12 74
"Unincorporated - West Antelope Valley" 5 331 0 0
"Unincorporated - West Carson" 410 1856 34 154
"Unincorporated - West Chatsworth" 0 0 0 0
"Unincorporated - West LA" 43 4517 2 210
"Unincorporated - West Puente Valley" 361 3671 3 31
"Unincorporated - West Rancho Dominguez" 21 1545 3 221
"Unincorporated - West Whittier/Los Nietos" 933 3465 16 59
"Unincorporated - Westfield/Academy Hills" 7 538 0 0
"Unincorporated - Westhills" 9 1073 0 0
"Unincorporated - White Fence Farms" 43 1168 0 0
"Unincorporated - Whittier" 61 1612 1 26
"Unincorporated - Whittier Narrows" 0 0 0 0
"Unincorporated - Willowbrook" 1401 4013 19 54
"Unincorporated - Wiseburn" 119 1974 1 17
"-  Under Investigation" 4836  35 
