City/Community Cases "Case Rate" Deaths "Death Rate"
"Los Angeles - Elysian Valley" 263 2586 3 29
"Los Angeles - Encino" 611 1353 18 40
"Los Angeles - Exposition" 81 2435 2 60
"Los Angeles - Exposition Park" 1337 2977 23 51
"Los Angeles - Faircrest Heights" 34 944 2 56
"Los Angeles - Figueroa Park Square" 314 3601 4 46
"Los Angeles - Florence-Firestone" 2319 4888 27 57
"Los Angeles - Glassell Park" 707 2237 14 44
"Los Angeles - Gramercy Place" 251 2332 4 37
"Los Angeles - Granada Hills" 1209 2078 65 112
"Los Angeles - Green Meadows" 945 4394 13 60
"Los Angeles - Hancock Park" 234 1373 3 18
"Los Angeles - Harbor City" 501 1723 11 38
"Los Angeles - Harbor Gateway" 990 2271 15 34
"Los Angeles - Harbor Pines" 22 913 0 0
"Los Angeles - Harvard Heights" 559 3100 24 133
"Los Angeles - Harvard Park" 1633 4305 24 63
"Los Angeles - Highland Park" 1102 2277 19 39
"Los Angeles - Historic Filipinotown" 442 3187 15 108
"Los Angeles - Hollywood" 1214 1779 14 21
"Los Angeles - Hollywood Hills" 299 1016 7 24
"Los Angeles - Hyde Park" 811 2842 14 49
"Los Angeles - Jefferson Park" 256 3171 0 0
"Los Angeles - Koreatown" 1172 2267 33 64
"Los Angeles - Lafayette Square" 83 1821 3 66
"Los Angeles - Lake Balboa" 1049 2485 19 45
"Los Angeles - Lakeview Terrace" 554 4218 23 175
"Los Angeles - Leimert Park" 318 2087 8 53
"Los Angeles - Lincoln Heights" 1080 3313 46 141
"Los Angeles - Little Armenia" 397 4947 52 648
"Los Angeles - Little Bangladesh" 494 1743 6 21
"Los Angeles - Little Tokyo" 93 2968 2 64
"Los Angeles - Longwood" 116 2695 0 0
"Los Angeles - Los Feliz" 213 986 2 9
"Los Angeles - Manchester Square" 193 2261 5 59
"Los Angeles - Mandeville Canyon" 26 832 0 0
"Los Angeles - Mar Vista" 321 756 6 14
"Los Angeles - Marina Peninsula" 37 849 0 0
"Los Angeles - Melrose" 1936 2492 71 91
"Los Angeles - Mid-city" 282 1876 24 160
"Los Angeles - Miracle Mile" 182 1012 6 33
"Los Angeles - Mission Hills" 809 3354 42 174
"Los Angeles - Mt. Washington" 554 2294 16 66
"Los Angeles - North Hills" 1837 2983 45 73
"Los Angeles - North Hollywood" 3939 2601 68 45
"Los Angeles - Northridge" 1435 2056 43 62
"Los Angeles - Pacific Palisades" 131 615 4 19
"Los Angeles - Pacoima" 3497 4543 50 65
"Los Angeles - Palisades Highlands" 29 754 0 0
"Los Angeles - Palms" 551 1256 30 68
"Los Angeles - Panorama City" 2957 3930 89 118
"Los Angeles - Park La Brea" 106 781 1 7
"Los Angeles - Pico-Union" 1803 4309 90 215
"Los Angeles - Playa Del Rey" 28 876 0 0
"Los Angeles - Playa Vista" 141 1288 0 0
"Los Angeles - Porter Ranch" 381 1071 6 17
"Los Angeles - Rancho Park" 89 1357 0 0
"Los Angeles - Regent Square" 30 1079 0 0
"Los Angeles - Reseda" 2185 2852 82 107
"Los Angeles - Reseda Ranch" 113 2437 0 0
"Los Angeles - Reynier Village" 39 922 0 0
"Los Angeles - San Pedro*" 1945 2492 28 36
"Los Angeles - Shadow Hills" 65 1463 0 0
"Los Angeles - Sherman Oaks" 1077 1234 27 31
"Los Angeles - Silverlake" 625 1418 19 43
"Los Angeles - South Carthay" 123 1161 2 19
"Los Angeles - South Park" 2038 5369 28 74
"Los Angeles - St Elmo Village" 154 3360 8 175
"Los Angeles - Studio City" 247 1101 8 36
"Los Angeles - Sun Valley" 1677 3195 30 57
"Los Angeles - Sunland" 462 2264 30 147
"Los Angeles - Sycamore Square" 7 1082 0 0
"Los Angeles - Sylmar*" 3288 3990 84 102
"Los Angeles - Tarzana" 673 2180 37 120
"Los Angeles - Temple-Beaudry" 1244 3151 29 73
"Los Angeles - Thai Town" 161 1641 2 20
"Los Angeles - Toluca Lake" 107 1229 0 0
"Los Angeles - Toluca Terrace" 23 1761 1 77
"Los Angeles - Toluca Woods" 19 1023 0 0
"Los Angeles - Tujunga" 519 1866 14 50
"Los Angeles - University Hills" 53 1546 1 29
"Los Angeles - University Park" 1172 4269 20 73
"Los Angeles - Valley Glen" 664 2212 21 70
"Los Angeles - Valley Village" 527 2132 25 101
"Los Angeles - Van Nuys" 3027 3248 91 98
"Los Angeles - Venice" 293 865 3 9
"Los Angeles - Vermont Knolls" 719 4180 16 93
"Los Angeles - Vermont Square" 342 4467 4 52
"Los Angeles - Vermont Vista" 1920 4662 26 63
"Los Angeles - Vernon Central" 3011 5791 42 81
"Los Angeles - Victoria Park" 212 2524 4 48
"Los Angeles - View Heights" 45 1218 3 81
"Los Angeles - Watts" 1939 4544 30 70
"Los Angeles - Wellington Square" 125 2543 2 41
"Los Angeles - West Adams" 896 3243 42 152
"Los Angeles - West Hills" 544 1342 30 74
"Los Angeles - West Los Angeles" 502 1334 15 40
"Los Angeles - West Vernon" 2357 4394 51 95
"Los Angeles - Westchester" 422 818 15 29
"Los Angeles - Westlake" 2407 4055 144 243
"Los Angeles - Westwood" 383 708 6 11
"Los Angeles - Wholesale District*" 2405 6657 27 75
"Los Angeles - Wilmington" 1788 3165 22 39
"Los Angeles - Wilshire Center" 1114 2220 37 74
"Los Angeles - Winnetka" 1260 2433 21 41
"Los Angeles - Woodland Hills" 922 1355 35 51
"Unincorporated - Acton" 70 878 2 25
"Unincorporated - Agua Dulce" 28 673 0 0
"Unincorporated - Altadena" 715 1639 14 32
"Unincorporated - Anaverde" 16 1061 0 0
"Unincorporated - Angeles National Forest" 6 482 0 0
"Unincorporated - Arcadia" 92 1153 3 38
"Unincorporated - Athens-Westmont" 1547 3645 27 64
"Unincorporated - Athens Village" 245 5003 10 204
"Unincorporated - Avocado Heights" 300 4428 4 59
"Unincorporated - Azusa" 512 3215 4 25
"Unincorporated - Bassett" 658 4441 9 61
"Unincorporated - Bouquet Canyon" 8 746 1 93
"Unincorporated - Bradbury" 4 3704 1 926
"Unincorporated - Canyon Country" 137 1773 0 0
"Unincorporated - Castaic*" 2065 7594 4 15
"Unincorporated - Cerritos" 17 2896 0 0
"Unincorporated - Charter Oak" 0 0 0 0
"Unincorporated - Claremont" 23 3276 3 427
"Unincorporated - Covina" 448 2664 7 42
"Unincorporated - Covina (Charter Oak)" 315 2397 2 15
"Unincorporated - Del Aire" 76 1730 2 46
"Unincorporated - Del Rey" 3 943 0 0
"Unincorporated - Del Sur" 16 663 1 41
"Unincorporated - Desert View Highlands" 49 1966 1 40
"Unincorporated - Duarte" 150 3388 4 90
"Unincorporated - East Covina" 4 1216 0 0
"Unincorporated - East La Mirada" 102 1927 1 19
"Unincorporated - East Lancaster" 0 0 0 0
"Unincorporated - East Los Angeles" 6350 5069 104 83
"Unincorporated - East Pasadena" 82 1281 1 16
"Unincorporated - East Rancho Dominguez" 687 4488 16 105
"Unincorporated - East Whittier" 90 1696 0 0
"Unincorporated - El Camino Village" 147 1672 3 34
"Unincorporated - El Monte" 6 4138 0 0
"Unincorporated - Elizabeth Lake" 7 421 0 0
"Unincorporated - Florence-Firestone" 3448 5329 52 80
"Unincorporated - Franklin Canyon" 0 0 0 0
"Unincorporated - Glendora" 13 1970 0 0
"Unincorporated - Hacienda Heights" 1045 1869 17 30
"Unincorporated - Harbor Gateway" 0 0 0 0
"Unincorporated - Hawthorne" 59 2347 0 0
"Unincorporated - Hi Vista" 8 729 0 0
"Unincorporated - Kagel/Lopez Canyons" 39 2762 1 71
"Unincorporated - La Crescenta-Montrose" 204 1030 2 10
"Unincorporated - La Habra Heights" 0 0 0 0
"Unincorporated - La Rambla" 78 3759 12 578
"Unincorporated - La Verne*" 34 1667 0 0
"Unincorporated - Ladera Heights" 97 1372 3 42
"Unincorporated - Lake Hughes" 4 599 0 0
"Unincorporated - Lake Los Angeles" 236 1816 4 31
"Unincorporated - Lake Manor" 24 1461 0 0
"Unincorporated - Lakewood" 0 0 0 0
"Unincorporated - Lennox" 704 3123 6 27
"Unincorporated - Leona Valley" 18 1028 0 0
"Unincorporated - Littlerock" 85 2114 1 25
"Unincorporated - Littlerock/Juniper Hills" 9 694 0 0
"Unincorporated - Littlerock/Pearblossom" 93 2606 0 0
"Unincorporated - Llano" 3 342 0 0
"Unincorporated - Marina del Rey" 71 754 1 11
"Unincorporated - Miracle Mile" 0 0 0 0
"Unincorporated - Monrovia" 81 2087 0 0
"Unincorporated - Newhall" 11 5000 0 0
"Unincorporated - North Lancaster" 19 1586 0 0
"Unincorporated - North Whittier" 213 2548 10 120
"Unincorporated - Northeast San Gabriel" 341 1419 8 33
"Unincorporated - Padua Hills" 3 1395 0 0
"Unincorporated - Palmdale" 21 2494 0 0
"Unincorporated - Palos Verdes Peninsula" 3 483 0 0
"Unincorporated - Pearblossom/Llano" 24 1227 1 51
"Unincorporated - Pellissier Village" 29 4685 0 0
"Unincorporated - Placerita Canyon" 0 0 0 0
"Unincorporated - Pomona" 16 826 1 52
"Unincorporated - Quartz Hill" 179 1387 11 85
"Unincorporated - Rancho Dominguez" 73 2743 2 75
"Unincorporated - Roosevelt" 9 967 0 0
"Unincorporated - Rosewood" 32 2488 0 0
"Unincorporated - Rosewood/East Gardena" 30 2515 1 84
"Unincorporated - Rosewood/West Rancho Dominguez" 109 3243 0 0
"Unincorporated - Rowland Heights" 673 1319 14 27
"Unincorporated - San Clemente Island" 0 0 0 0
"Unincorporated - San Francisquito Canyon/Bouquet Canyon" 0 0 0 0
"Unincorporated - San Jose Hills" 737 3645 13 64
"Unincorporated - San Pasqual" 10 491 0 0
"Unincorporated - Sand Canyon" 7 2273 0 0
"Unincorporated - Santa Catalina Island" 25 9363 0 0
"Unincorporated - Santa Monica Mountains*" 115 618 1 5
"Unincorporated - Saugus" 27 17419 0 0
"Unincorporated - Saugus/Canyon Country" 2 562 0 0
"Unincorporated - South Antelope Valley" 6 1319 0 0
"Unincorporated - South El Monte" 89 4958 0 0
"Unincorporated - South San Gabriel" 175 1978 5 57
"Unincorporated - South Whittier" 1815 3065 34 57
"Unincorporated - Southeast Antelope Valley" 13 1665 0 0
"Unincorporated - Stevenson Ranch" 166 792 2 10
"Unincorporated - Sun Village" 166 2750 2 33
"Unincorporated - Sunrise Village" 53 4090 0 0
"Unincorporated - Twin Lakes/Oat Mountain" 12 724 1 60
"Unincorporated - Val Verde" 78 2357 1 30
"Unincorporated - Valencia" 47 1530 1 33
"Unincorporated - Valinda" 757 3239 8 34
"Unincorporated - View Park/Windsor Hills" 143 1229 3 26
"Unincorporated - Walnut Park" 710 4398 13 81
"Unincorporated - West Antelope Valley" 5 331 0 0
"Unincorporated - West Carson" 445 2015 36 163
"Unincorporated - West Chatsworth" 0 0 0 0
"Unincorporated - West LA" 43 4517 2 210
"Unincorporated - West Puente Valley" 393 3996 3 31
"Unincorporated - West Rancho Dominguez" 22 1619 3 221
"Unincorporated - West Whittier/Los Nietos" 983 3651 15 56
"Unincorporated - Westfield/Academy Hills" 8 615 0 0
"Unincorporated - Westhills" 9 1073 0 0
"Unincorporated - White Fence Farms" 44 1195 0 0
"Unincorporated - Whittier" 70 1850 3 79
"Unincorporated - Whittier Narrows" 3 25000 0 0
"Unincorporated - Willowbrook" 1455 4168 21 60
"Unincorporated - Wiseburn" 127 2107 1 17
"-  Under Investigation" 4742 0 19 0
