City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Agoura Hills" 163 781 1 5
"City of Alhambra" 1267 1461 27 31
"City of Arcadia" 505 874 34 59
"City of Artesia" 380 2263 10 60
"City of Avalon" 6 155 0 0
"City of Azusa" 1552 3102 23 46
"City of Baldwin Park" 3019 3933 89 116
"City of Bell" 1614 4442 41 113
"City of Bell Gardens" 1966 4565 22 51
"City of Bellflower" 2394 3080 59 76
"City of Beverly Hills" 695 2013 12 35
"City of Bradbury" 14 1310 0 0
"City of Burbank" 1570 1465 58 54
"City of Calabasas" 270 1110 12 49
"City of Carson" 1853 1975 62 66
"City of Cerritos" 570 1138 18 36
"City of Claremont" 386 1058 10 27
"City of Commerce*" 592 4530 11 84
"City of Compton" 4075 4079 71 71
"City of Covina" 1422 2900 45 92
"City of Cudahy" 1103 4530 16 66
"City of Culver City" 386 968 29 73
"City of Diamond Bar" 554 963 10 17
"City of Downey" 4141 3624 87 76
"City of Duarte" 572 2598 30 136
"City of El Monte" 4360 3718 163 139
"City of El Segundo" 131 780 1 6
"City of Gardena" 1254 2045 51 83
"City of Glendale" 3776 1829 176 85
"City of Glendora" 1262 2392 73 138
"City of Hawaiian Gardens" 536 3652 2 14
"City of Hawthorne" 1950 2196 46 52
"City of Hermosa Beach" 211 1073 4 20
"City of Hidden Hills" 7 370 0 0
"City of Huntington Park" 2961 4978 57 96
"City of Industry" 37 8467 2 458
"City of Inglewood" 2891 2545 89 78
"City of Irwindale" 68 4661 2 137
"City of La Canada Flintridge" 183 884 7 34
"City of La Habra Heights" 44 807 0 0
"City of La Mirada" 852 1718 26 52
"City of La Puente" 1517 3728 22 54
"City of La Verne" 469 1409 12 36
"City of Lakewood" 1298 1615 14 17
"City of Lancaster*" 3445 2132 55 34
"City of Lawndale" 636 1892 10 30
"City of Lomita" 240 1158 9 43
"City of Lynwood*" 3324 4614 101 140
"City of Malibu" 103 795 3 23
"City of Manhattan Beach" 362 1006 5 14
"City of Maywood" 1445 5152 33 118
"City of Monrovia" 754 1943 41 106
"City of Montebello" 2324 3610 52 81
"City of Monterey Park" 971 1560 47 75
"City of Norwalk" 3301 3067 78 72
"City of Palmdale" 4157 2615 71 45
"City of Palos Verdes Estates" 101 747 2 15
"City of Paramount" 2416 4313 29 52
"City of Pico Rivera" 2437 3791 74 115
"City of Pomona" 5537 3551 129 83
"City of Rancho Palos Verdes" 311 728 13 30
"City of Redondo Beach" 559 814 11 16
"City of Rolling Hills" 12 619 0 0
"City of Rolling Hills Estates" 43 530 2 25
"City of Rosemead" 829 1498 30 54
"City of San Dimas*" 536 1553 14 41
"City of San Fernando" 941 3823 18 73
"City of San Gabriel" 641 1565 63 154
"City of San Marino" 91 685 2 15
"City of Santa Clarita" 3499 1587 50 23
"City of Santa Fe Springs" 570 3104 4 22
"City of Santa Monica" 879 951 41 44
"City of Sierra Madre" 76 692 3 27
"City of Signal Hill" 275 2331 3 25
"City of South El Monte" 799 3826 16 77
"City of South Gate" 4477 4561 69 70
"City of South Pasadena" 283 1086 26 100
"City of Temple City" 529 1451 41 112
"City of Torrance" 1438 963 70 47
"City of Vernon" 12 5742 0 0
"City of Walnut" 277 907 4 13
"City of West Covina" 2906 2685 66 61
"City of West Hollywood" 566 1532 5 14
"City of Westlake Village" 33 395 0 0
"City of Whittier" 2263 2588 35 40
"Los Angeles" 109405 2705 2780 69
"Los Angeles - Adams-Normandie" 268 3267 4 49
"Los Angeles - Alsace" 373 2997 3 24
"Los Angeles - Angeles National Forest" 2 5000 0 0
"Los Angeles - Angelino Heights" 74 2958 1 40
"Los Angeles - Arleta" 1464 4260 26 76
"Los Angeles - Atwater Village" 241 1643 7 48
"Los Angeles - Baldwin Hills" 618 1986 27 87
"Los Angeles - Bel Air" 92 1091 0 0
"Los Angeles - Beverly Crest" 124 990 2 16
"Los Angeles - Beverlywood" 166 1260 0 0
"Los Angeles - Boyle Heights*" 4275 4920 68 78
"Los Angeles - Brentwood" 296 956 3 10
"Los Angeles - Brookside" 3 516 0 0
"Los Angeles - Cadillac-Corning" 131 1840 1 14
"Los Angeles - Canoga Park" 1915 2933 57 87
"Los Angeles - Carthay" 216 1504 15 104
"Los Angeles - Central" 2180 5591 42 108
"Los Angeles - Century City" 118 922 0 0
"Los Angeles - Century Palms/Cove" 1494 4425 22 65
"Los Angeles - Chatsworth" 679 1832 35 94
"Los Angeles - Cheviot Hills" 81 883 2 22
"Los Angeles - Chinatown" 117 1459 3 37
"Los Angeles - Cloverdale/Cochran" 300 2061 5 34
"Los Angeles - Country Club Park" 361 2382 27 178
"Los Angeles - Crenshaw District" 303 2191 3 22
"Los Angeles - Crestview" 193 1698 20 176
"Los Angeles - Del Rey" 354 1183 10 33
"Los Angeles - Downtown*" 822 2988 15 55
"Los Angeles - Eagle Rock" 665 1680 25 63
"Los Angeles - East Hollywood" 632 2158 43 147
"Los Angeles - Echo Park" 252 1768 4 28
"Los Angeles - El Sereno" 1244 2976 34 81
"Los Angeles - Elysian Park" 97 1698 0 0
